id_lab,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F25-2089,9,14.13,15.53,49.51,49.57
F25-2090,9,13.68,15.16,47.95,44.82
F25-2091,9,14.36,15.8,48.44,51.47
F25-2092,9,13.42,14.98,49.69,45.83
F25-2093,6,13.62,15.34,45.53,54.14
F25-2094,7,14.4,15.78,53.71,39.9
F25-2095,6,13.7,15.27,40.94,57.71
F25-2096,9,13.27,14.66,59.28,47.46
F25-2097,7,13.37,14.95,48.6,48.02
F25-2098,7,13.64,15.09,51.0,45.09
F25-2099,6,13.85,15.26,53.27,40.75
F25-2100,7,13.74,15.27,50.97,42.9
F25-2101,9,13.28,15.18,70.27,39.76
F25-2102,7,13.43,14.91,53.15,41.2
F25-2103,8,13.44,15.02,58.19,38.93
F25-2104,7,13.46,14.59,51.5,54.58
F25-2105,9,12.71,14.34,67.18,42.32
F25-2106,6,12.62,13.94,56.87,40.4
F25-2107,9,12.31,13.96,37.48,60.12
F25-2108,9,12.52,14.27,37.7,61.59
F25-2109,9,12.4,13.92,36.04,60.13
F25-2110,9,11.64,14.03,36.64,57.99
F25-2111,9,12.23,14.28,38.13,56.17
F25-2112,9,12.56,14.1,40.7,49.54
F25-2113,9,12.74,14.58,44.66,50.57
F25-2114,9,12.8,14.36,45.29,51.12
F25-2115,9,12.84,14.28,42.43,52.27
F25-2116,9,12.69,14.48,40.34,54.32
F25-2117,9,12.39,14.07,41.22,52.92
F25-2118,9,12.42,14.02,43.24,50.93
F25-2119,9,12.34,14.04,45.3,52.02
F25-2120,9,12.69,14.25,46.91,50.02
F25-2121,9,12.63,14.14,48.9,46.05
F25-2122,9,10.08,11.66,29.6,43.22
F25-2131,4,13.48,14.31,64.84,35.0
F25-2134,15,14.02,14.5,71.19,40.78
F25-2136,6,12.72,12.75,53.88,39.84
F25-2137,9,13.06,14.05,52.51,48.32
F25-2138,9,13.08,13.72,54.61,48.61
