requisitioner,n_replicates_gas,subset,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm,ranking,quartile
Genetic_bank,6,3,CIAT-19867,Uraria lagopodioides,Herbaceous_legumes,15.7,16.58,49.19,52.99,136,Q2
Genetic_bank,7,2,CIAT-5749,Centrosema plumieri,Herbaceous_legumes,12.87,15.15,49.14,52.88,137,Q2
Genetic_bank,9,2,CIAT-887,Calopogonium mucunoides,Herbaceous_legumes,14.44,16.22,41.52,52.78,138,Q2
Genetic_bank,8,2,CIAT-7894,Canavalia brasiliensis,Herbaceous_legumes,12.3,15.04,45.89,52.77,139,Q2
Genetic_bank,9,3,CIAT-11220,Stylosanthes hamata,Herbaceous_legumes,12.84,14.34,56.23,52.76,140,Q2
Genetic_bank,7,2,CIAT-22598,Lablab purpureus,Herbaceous_legumes,15.1,15.84,45.23,52.73,141,Q2
Breeding,5,3,CIAT-712,Clitoria ternatea ,Herbaceous_legumes,14.46,15.52,52.6,52.67,142,Q2
Genetic_bank,9,3,CIAT-11778,Stylosanthes hamata,Herbaceous_legumes,12.7,14.19,53.43,52.53,143,Q2
Genetic_bank,9,1,CIAT-19139,Alysicarpus ovalifolius,Herbaceous_legumes,14.24,17.2,39.74,52.41,144,Q2
Genetic_bank,9,1,CIAT-989,Indigofera hirsuta,Herbaceous_legumes,15.57,16.78,32.85,52.31,145,Q2
Genetic_bank,6,3,CIAT-12381,Stylosanthes hamata,Herbaceous_legumes,13.12,14.63,59.84,52.3,146,Q2
Genetic_bank,9,1,CIAT-24360,Vigna umbellata,Herbaceous_legumes,13.99,15.44,37.12,52.16,147,Q2
Genetic_bank,7,2,CIAT-15401,Centrosema brasilianum,Herbaceous_legumes,13.84,15.7,45.47,52.1,148,Q2
Genetic_bank,6,3,CIAT-12686,Stylosanthes hamata,Herbaceous_legumes,12.15,13.76,52.34,52.01,149,Q2
Genetic_bank,6,2,CIAT-25522,Centrosema macrocarpum,Herbaceous_legumes,13.87,15.27,45.94,52.0,150,Q2
Genetic_bank,9,2,CIAT-5735,Centrosema macrocarpum,Herbaceous_legumes,13.9,15.3,47.18,51.89,151,Q2
Genetic_bank,9,3,CIAT-10639,Stylosanthes scabra,Herbaceous_legumes,12.8,14.27,52.7,51.87,152,Q2
Genetic_bank,9,3,CIAT-1992,Stylosanthes guianensis,Herbaceous_legumes,11.59,12.87,43.92,51.86,153,Q2
Genetic_bank,9,2,CIAT-8202,Chamaecrista rotundifolia,Herbaceous_legumes,13.61,15.52,48.87,51.8,154,Q2
Genetic_bank,8,2,CIAT-7395,Galactia striata,Herbaceous_legumes,12.74,15.1,47.01,51.78,155,Q2
Genetic_bank,7,4,CIAT-8014,Crotalaria retusa,Herbaceous_legumes,12.27,13.35,53.29,51.76,156,Q2
Genetic_bank,9,3,CIAT-822,Calopogonium mucunoides,Herbaceous_legumes,13.54,14.72,48.95,51.7,157,Q2
Genetic_bank,8,1,CIAT-22754,Lablab purpureus,Herbaceous_legumes,13.58,15.12,43.14,51.68,158,Q2
Breeding,6,3,CIAT-9432,Clitoria ternatea ,Herbaceous_legumes,15.52,16.68,59.31,51.53,159,Q2
Genetic_bank,8,4,CIAT-415,Vigna radiata,Herbaceous_legumes,11.22,13.79,43.25,51.39,160,Q3
Genetic_bank,9,1,CIAT-22520,Arachis pusilla,Herbaceous_legumes,13.09,14.92,40.72,51.33,161,Q3
Genetic_bank,9,1,CIAT-19673,Alysicarpus rugosus,Herbaceous_legumes,14.38,15.9,43.95,51.27,162,Q3
Genetic_bank,9,1,CIAT-18813,Crotalaria nitens,Herbaceous_legumes,13.41,16.45,38.58,51.23,163,Q3
Genetic_bank,9,2,CIAT-7227,Galactia texana,Herbaceous_legumes,10.43,11.52,31.16,51.21,164,Q3
Genetic_bank,9,2,CIAT-18865,Alysicarpus rugosus,Herbaceous_legumes,14.34,15.09,45.67,51.17,165,Q3
Breeding,6,3,CIAT-712,Clitoria ternatea ,Herbaceous_legumes,14.47,15.77,61.32,51.08,166,Q3
Genetic_bank,5,1,CIAT-9432,Clitoria ternatea,Herbaceous_legumes,17.36,18.9,57.24,50.87,167,Q3
Genetic_bank,7,4,CIAT-9531,Indigofera spicata,Herbaceous_legumes,12.43,14.65,48.49,50.85,168,Q3
Genetic_bank,9,2,CIAT-5657,Centrosema brasilianum,Herbaceous_legumes,12.8,14.93,47.4,50.66,169,Q3
Genetic_bank,9,3,CIAT-10634,Stylosanthes scabra,Herbaceous_legumes,12.53,13.56,52.78,50.55,170,Q3
Genetic_bank,6,4,CIAT-24565,Vigna unguiculata,Herbaceous_legumes,12.92,14.38,46.92,50.41,171,Q3
Genetic_bank,8,2,CIAT-8156,Chamaecrista rotundifolia,Herbaceous_legumes,14.38,16.11,42.34,50.26,172,Q3
Genetic_bank,6,3,CIAT-12485,Stylosanthes scabra,Herbaceous_legumes,13.03,13.82,43.18,50.03,173,Q3
Genetic_bank,5,1,CIAT-8409,Chamaecrista nictitans,Herbaceous_legumes,16.98,20.56,54.13,49.94,174,Q3
Genetic_bank,8,4,CIAT-34042,Vigna aconitifolia,Herbaceous_legumes,13.48,15.2,56.27,49.93,175,Q3
Genetic_bank,4,3,CIAT-12115,Stylosanthes humilis,Herbaceous_legumes,12.42,13.93,60.6,49.92,176,Q3
Genetic_bank,9,1,CIAT-19129,Alysicarpus rugosus,Herbaceous_legumes,15.91,18.28,49.18,49.9,177,Q3
Genetic_bank,4,3,CIAT-12710,Stylosanthes scabra,Herbaceous_legumes,12.82,13.88,46.65,49.79,178,Q3
Genetic_bank,9,1,CIAT-15551,Centrosema molle,Herbaceous_legumes,14.79,17.49,50.03,49.72,179,Q3
Genetic_bank,9,1,CIAT-18862,Alysicarpus rugosus,Herbaceous_legumes,15.2,17.3,44.91,49.62,180,Q3
Genetic_bank,9,3,CIAT-11232,Stylosanthes hamata,Herbaceous_legumes,12.5,14.31,59.02,49.49,181,Q3
Genetic_bank,9,3,CIAT-11624,Stylosanthes humilis,Herbaceous_legumes,12.16,13.26,51.7,49.47,182,Q3
Genetic_bank,8,4,CIAT-34044,Vigna aconitifolia,Herbaceous_legumes,13.74,15.67,64.72,49.46,183,Q3
LMF,2,1,ILRI-13946-29,Stylosanthes fructicosa,Herbaceous_legumes,13.6,16.01,59.42,49.35,184,Q3
Genetic_bank,9,1,CIAT-19127,Alysicarpus rugosus,Herbaceous_legumes,15.48,17.96,49.24,48.76,185,Q3
Genetic_bank,6,3,CIAT-2783,Stylosanthes humilis,Herbaceous_legumes,12.25,13.7,64.2,48.58,186,Q3
Genetic_bank,9,1,CIAT-19133,Alysicarpus rugosus,Herbaceous_legumes,15.61,18.06,55.12,48.23,187,Q3
Genetic_bank,9,1,CIAT-7292,Chamaecrista desvauxii,Herbaceous_legumes,15.74,17.19,38.18,48.05,188,Q3
Breeding,6,3,CIAT-9432,Clitoria ternatea ,Herbaceous_legumes,15.15,15.95,57.41,47.8,189,Q3
Genetic_bank,9,3,CIAT-10627,Stylosanthes scabra,Herbaceous_legumes,12.49,13.61,46.84,47.71,190,Q3
Genetic_bank,9,2,CIAT-15799,Centrosema macrocarpum,Herbaceous_legumes,13.26,14.06,37.78,47.56,191,Q3
Genetic_bank,9,3,CIAT-11820,Stylosanthes scabra,Herbaceous_legumes,12.56,13.96,56.11,47.55,192,Q3
Genetic_bank,6,1,CIAT-8408,Chamaecrista nictitans,Herbaceous_legumes,17.22,20.47,58.52,47.3,193,Q3
Genetic_bank,7,4,CIAT-18950,Indigofera spicata,Herbaceous_legumes,13.91,15.55,59.59,47.3,194,Q3
Genetic_bank,8,2,CIAT-17009,Canavalia brasiliensis,Herbaceous_legumes,13.86,16.38,64.87,47.23,195,Q3
Genetic_bank,8,4,CIAT-9352,Crotalaria pumila,Herbaceous_legumes,12.9,14.7,57.38,47.09,196,Q3
Genetic_bank,7,2,CIAT-15561,Centrosema molle,Herbaceous_legumes,13.34,14.8,41.13,47.01,197,Q3
Genetic_bank,6,2,CIAT-15474,Centrosema molle,Herbaceous_legumes,13.15,13.56,35.27,47.0,198,Q3
Genetic_bank,7,4,CIAT-4537,Vigna unguiculata,Herbaceous_legumes,11.7,13.68,55.33,46.92,199,Q3
Genetic_bank,9,3,CIAT-8702,Calopogonium caeruleum,Herbaceous_legumes,14.17,15.53,50.56,46.88,200,Q3
Genetic_bank,9,1,CIAT-19128,Alysicarpus rugosus,Herbaceous_legumes,15.19,17.68,49.01,46.81,201,Q3
Genetic_bank,7,3,CIAT-9740,Chamaecrista desvauxii,Herbaceous_legumes,10.03,13.41,50.98,46.73,202,Q3
Genetic_bank,9,3,CIAT-13149,Desmodium strigillosum,Herbaceous_legumes,13.02,14.15,43.24,46.64,203,Q3
Genetic_bank,8,4,CIAT-34148,Vigna radiata,Herbaceous_legumes,13.89,15.41,58.17,46.55,204,Q3
Genetic_bank,8,2,CIAT-25113,Centrosema brasilianum,Herbaceous_legumes,14.56,15.63,50.97,46.38,205,Q3
Genetic_bank,6,4,CIAT-9337,Crotalaria retusa,Herbaceous_legumes,12.0,12.72,50.54,46.3,206,Q3
Genetic_bank,7,2,CIAT-15816,Centrosema acutifolium,Herbaceous_legumes,13.39,14.86,47.5,46.2,207,Q3
Genetic_bank,5,3,CIAT-1467,Stylosanthes hamata,Herbaceous_legumes,13.2,14.72,48.69,46.13,208,Q3
Genetic_bank,7,3,CIAT-11199,Stylosanthes hamata,Herbaceous_legumes,12.94,14.61,61.65,46.13,209,Q3
Genetic_bank,8,4,CIAT-19198,Tephrosia villosa,Herbaceous_legumes,13.71,15.7,53.55,45.87,210,Q3
Genetic_bank,9,3,CIAT-10725,Stylosanthes scabra,Herbaceous_legumes,12.91,14.14,51.65,45.73,211,Q3
Genetic_bank,9,3,CIAT-5713,Centrosema macrocarpum,Herbaceous_legumes,13.33,14.69,61.23,45.58,212,Q3
Genetic_bank,9,2,CIAT-15470,Centrosema molle,Herbaceous_legumes,13.77,14.6,40.38,45.55,213,Q3
Genetic_bank,7,4,CIAT-8820,Tephrosia cinerea,Herbaceous_legumes,15.06,16.61,66.38,45.42,214,Q3
