id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm,ch4_category,tddm_category,lmf_category,lmf_category_rank,quartile,quartile_rank
F25-0964,CIAT-8013,2,273,Genetic_bank,Crotalaria paulina,Herbaceous_legumes,2,93.74,10.6,89.4,22.95,17.85,61.05,8,13.18,14.46,40.57,68.31,Low,High,Category_1a,12,Q1,7
F24-3418,CIAT-712,1,5,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,91.3,7.76,92.24,31.19,25.82,54.88,9,12.57,14.79,40.73,62.66,Medium,Not High,Category_2,123,Q1,38
F24-3418,CIAT-712,1,5,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,91.3,7.76,92.24,31.19,25.82,54.88,9,12.57,14.79,40.73,62.66,Medium,Not High,Category_2,123,Q2,110
F24-3418,CIAT-712,1,5,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,91.3,7.76,92.24,31.19,25.82,54.88,9,12.57,14.79,40.73,62.66,Medium,Not High,Category_2,123,Q2,125
F24-3434,CIAT-7292,1,127,Genetic_bank,Chamaecrista desvauxii,Herbaceous_legumes,2,92,9.42,90.58,31.83,44.14,59.53,9,15.74,17.19,38.18,48.05,Low,Not High,Category_2,22,Q3,177
F24-3420,CIAT-768,1,9,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,92.17,8.7,91.3,29.46,25.73,54.21,9,13.49,15.73,39.08,64.82,Low,High,Category_1a,13,Q1,26
F24-3436,CIAT-7322,1,131,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,89.37,15.19,84.81,21.52,18.16,47.54,9,17.21,19.04,43.86,74.64,Low,High,Category_1a,14,Q1,1
F24-3437,CIAT-7339,1,133,Genetic_bank,Indigofera lespedezioides,Herbaceous_legumes,2,91.99,16.46,83.54,24.97,42.71,57.94,9,16.06,17.66,34.71,53.95,Low,Not High,Category_2,13,Q2,117
F24-3438,CIAT-7469,1,135,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,92.16,8.09,91.91,26.37,22.54,60.53,9,16.63,18.01,47.75,65.71,Medium,High,Category_1b,6,Q1,15
F24-3419,CIAT-749,1,7,Genetic_bank,Crotalaria juncea,Shrub_Trees,2,91.75,11.55,88.45,27.95,28.75,51,9,14.03,15.59,35.43,65.15,Low,High,Category_1a,6,Q1,8
