id_lab,id,subset,no,requisitioner,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition
F24-3527,CIAT-22915,1,363.0,Genetic_bank,Aeschynomene villosa,Herbaceous_legumes,0.05,0.01,0.01,0.0,0.08,2.62,2
F24-3528,CIAT-23259,1,365.0,Genetic_bank,Desmodium gangeticum,Shrub_Trees,0.03,0.32,0.32,0.0,0.36,0.43,2
F24-3529,CIAT-23339,1,367.0,Genetic_bank,Desmodium gangeticum,Shrub_Trees,0.03,0.01,0.01,0.0,0.46,0.7,2
F24-3530,CIAT-23761,1,369.0,Genetic_bank,Uraria picta,Herbaceous_legumes,0.04,0.02,0.02,0.0,0.3,1.22,2
F24-3531,CIAT-24360,1,371.0,Genetic_bank,Vigna umbellata,Herbaceous_legumes,0.01,0.16,0.16,0.0,0.92,0.0,2
F24-3532,CIAT-24466,1,373.0,Genetic_bank,Vigna umbellata,Herbaceous_legumes,0.06,0.03,0.03,0.0,0.25,0.28,2
F24-3533,CIAT-32246,1,375.0,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,0.04,0.0,0.0,0.0,0.31,3.29,2
F24-3534,CIAT-32365,1,377.0,Genetic_bank,Desmanthus virgatus,Shrub_Trees,0.08,0.08,0.08,0.0,0.92,2.98,2
F24-3535,CIAT-32373,1,379.0,Genetic_bank,Desmanthus pubescens,Shrub_Trees,0.05,0.07,0.07,0.0,0.25,2.29,2
F24-3536,CIAT-32379,2,1.0,Genetic_bank,Desmanthus pubescens,Shrub_Trees,0.04,0.05,0.05,0.0,0.92,0.86,2
F24-3537,CIAT-32380,2,3.0,Genetic_bank,Desmanthus pubescens,Shrub_Trees,0.06,0.05,0.05,0.0,0.39,0.65,2
F24-3538,CIAT-33249,2,5.0,Genetic_bank,Desmodium velutinum,Shrub_Trees,0.1,0.04,0.04,0.0,0.01,3.38,2
F24-3539,CIAT-172,2,109.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.04,0.11,0.11,0.0,1.1,0.64,2
F24-3540,CIAT-1467,2,111.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.13,0.06,0.06,0.0,0.39,25.55,4
F24-3541,CIAT-1475,2,113.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.2,0.06,0.06,0.0,0.3,18.2,4
F24-3542,CIAT-1650,2,115.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.01,0.21,0.21,0.0,1.71,4.76,2
F24-3543,CIAT-1706,2,117.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.01,0.3,0.3,0.0,0.2,0.79,2
F24-3544,CIAT-1727,2,119.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.04,0.3,0.3,0.0,0.86,0.02,2
F24-3545,CIAT-1803,2,121.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.01,0.06,0.06,0.0,1.69,0.47,2
F24-3546,CIAT-1964,2,123.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.0,0.04,0.04,0.0,0.64,0.35,2
F24-3547,CIAT-2613,2,125.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.08,0.06,0.06,0.0,0.04,0.23,2
F24-3548,CIAT-2783,3,153.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.08,0.01,0.01,0.02,0.28,0.41,2
F24-3549,CIAT-10440,3,155.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.01,0.26,0.26,0.0,0.17,0.4,2
F24-3550,CIAT-10613,3,157.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.02,1.46,1.46,0.0,1.21,0.27,2
F24-3551,CIAT-10627,3,159.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.05,0.0,0.0,0.0,0.19,1.22,2
F24-3552,CIAT-10634,3,161.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.16,0.05,0.05,0.0,0.19,0.41,2
F24-3553,CIAT-10639,3,163.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.01,0.24,0.24,0.0,0.72,1.46,2
F24-3554,CIAT-10725,3,165.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.03,0.15,0.15,0.0,1.11,0.79,2
F24-3555,CIAT-11199,3,167.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.12,0.1,0.1,0.0,0.27,1.53,2
F24-3556,CIAT-11215,3,169.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.03,0.05,0.05,0.0,0.8,2.51,2
F24-3557,CIAT-11220,3,171.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.05,0.01,0.01,0.0,0.9,1.89,2
F24-3558,CIAT-11232,3,173.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.01,0.01,0.01,0.0,0.46,0.1,2
F24-3559,CIAT-11313,3,175.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.11,0.02,0.02,0.0,0.48,0.34,2
F24-3560,CIAT-11417,3,177.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.03,0.18,0.18,0.0,0.22,0.69,2
F24-3561,CIAT-11624,3,179.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.01,0.01,0.01,0.0,0.28,2.03,2
F24-3562,CIAT-11690,3,181.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.52,0.74,0.74,0.0,0.57,0.34,2
F24-3563,CIAT-11762,3,183.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.08,0.13,0.13,0.0,0.41,1.12,2
