id_lab,id,subset,no,requisitioner,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition
F24-3494,CIAT-19127,1,247.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,92.25,10.39,89.62,19.5,34.91,57.93,2
F24-3495,CIAT-19128,1,249.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,92.69,9.45,90.55,17.09,40.01,61.97,2
F24-3496,CIAT-19129,1,251.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,93.46,11.98,88.02,17.81,36.71,62.08,2
F24-3497,CIAT-19133,1,253.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,93.13,11.81,88.19,17.49,35.06,55.15,2
F24-3498,CIAT-19137,1,255.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,93.77,10.96,89.04,18.13,33.34,57.07,2
F24-3499,CIAT-19138,1,257.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,92.69,11.37,88.63,21.32,32.54,54.03,2
F24-3500,CIAT-19139,1,259.0,Genetic_bank,Alysicarpus ovalifolius,Herbaceous_legumes,94.61,12.04,87.96,18.54,35.03,58.31,2
F24-3501,CIAT-19213,1,311.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,93.84,11.79,88.21,31.12,37.56,51.31,2
F24-3502,CIAT-19421,1,313.0,Genetic_bank,Uraria lagopodioides,Herbaceous_legumes,94.09,18.68,81.32,20.04,27.8,46.04,2
F24-3503,CIAT-19566,1,315.0,Genetic_bank,Tephrosia noctiflora,Shrub_Trees,93.74,12.42,87.58,25.36,19.49,42.6,2
F24-3504,CIAT-19667,1,317.0,Genetic_bank,Indigofera hirsuta,Herbaceous_legumes,92.42,9.96,90.04,26.0,37.56,50.53,2
F24-3505,CIAT-19673,1,319.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,92.51,11.98,88.02,25.41,27.8,53.08,2
F24-3506,CIAT-19895,1,321.0,Genetic_bank,Aeschynomene americana,Shrub_Trees,93.36,11.41,88.59,25.26,25.71,62.06,2
F24-3507,CIAT-20093,1,323.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,94.36,12.87,87.13,24.07,16.58,50.41,2
F24-3508,CIAT-20113,1,325.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,94.64,15.79,84.21,18.07,15.92,48.43,2
F24-3509,CIAT-20125,1,327.0,Genetic_bank,Coursetia caribaea,Shrub_Trees,93.5,13.24,86.76,20.44,18.08,44.23,2
F24-3510,CIAT-20298,1,329.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,93.66,16.19,83.81,22.85,21.72,43.09,2
F24-3511,CIAT-20305,1,331.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,93.54,18.34,81.66,23.35,19.38,39.7,2
F24-3512,CIAT-20803,1,333.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,93.38,15.93,84.06,22.07,15.58,49.53,2
F24-3513,CIAT-21031,1,335.0,Genetic_bank,Christia obcordata,Herbaceous_legumes,94.06,19.67,80.33,20.42,8.94,46.57,2
F24-3514,CIAT-21128,1,337.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,93.46,10.34,89.66,29.38,36.54,43.84,2
F24-3515,CIAT-21212,1,339.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,93.67,15.0,85.0,22.98,20.77,39.82,2
F24-3516,CIAT-21263,1,341.0,Genetic_bank,Sesbania rostrata,Shrub_Trees,92.58,13.36,86.64,25.01,15.32,40.69,2
F24-3517,CIAT-21514,1,343.0,Genetic_bank,Desmanthus virgatus,Shrub_Trees,93.55,9.91,90.08,23.25,15.23,55.95,2
F24-3518,CIAT-21565,1,345.0,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,92.64,7.89,92.11,19.59,33.72,58.3,2
F24-3519,CIAT-21709,1,347.0,Genetic_bank,Crotalaria juncea,Shrub_Trees,92.16,16.8,83.2,25.97,23.18,43.06,2
F24-3520,CIAT-22286,1,349.0,Genetic_bank,Crotalaria micans,Shrub_Trees,93.58,10.4,89.6,25.3,24.48,43.59,2
F24-3521,CIAT-22475,1,351.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,94.16,12.42,87.57,17.41,31.68,64.15,2
F24-3522,CIAT-22481,1,353.0,Genetic_bank,Sesbania cochinchinensis,Shrub_Trees,91.97,10.46,89.54,31.18,26.64,61.96,2
F24-3523,CIAT-22520,1,355.0,Genetic_bank,Arachis pusilla,Herbaceous_legumes,93.06,14.93,85.07,20.36,22.79,61.22,2
F24-3524,CIAT-22570,1,357.0,Genetic_bank,Desmanthus bicornutus,Shrub_Trees,92.67,8.46,91.54,32.64,19.87,64.71,2
F24-3525,CIAT-22594,1,359.0,Genetic_bank,Desmanthus pernambucanus,Shrub_Trees,94.58,8.87,91.13,27.26,23.96,58.58,2
F24-3526,CIAT-22754,1,361.0,Genetic_bank,Lablab purpureus,Herbaceous_legumes,91.68,12.14,87.86,30.03,24.88,51.34,2
F24-3527,CIAT-22915,1,363.0,Genetic_bank,Aeschynomene villosa,Herbaceous_legumes,92.06,7.92,92.07,27.06,34.54,64.51,2
F24-3528,CIAT-23259,1,365.0,Genetic_bank,Desmodium gangeticum,Shrub_Trees,92.86,12.96,87.04,23.04,24.96,56.45,2
F24-3529,CIAT-23339,1,367.0,Genetic_bank,Desmodium gangeticum,Shrub_Trees,93.7,15.0,85.0,22.09,14.57,55.68,2
F24-3530,CIAT-23761,1,369.0,Genetic_bank,Uraria picta,Herbaceous_legumes,95.0,13.68,86.32,18.09,26.64,61.9,2
F24-3531,CIAT-24360,1,371.0,Genetic_bank,Vigna umbellata,Herbaceous_legumes,92.73,17.22,82.78,23.17,28.73,53.68,2
F24-3532,CIAT-24466,1,373.0,Genetic_bank,Vigna umbellata,Herbaceous_legumes,92.86,19.77,80.23,22.39,20.0,37.53,2
F24-3533,CIAT-32246,1,375.0,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,91.54,8.03,91.97,26.83,26.64,79.4,2
F24-3534,CIAT-32365,1,377.0,Genetic_bank,Desmanthus virgatus,Shrub_Trees,90.93,7.5,92.5,30.19,28.73,75.76,2
F24-3535,CIAT-32373,1,379.0,Genetic_bank,Desmanthus pubescens,Shrub_Trees,92.34,8.66,91.34,28.4,19.99,77.89,2
F24-3536,CIAT-32379,2,1.0,Genetic_bank,Desmanthus pubescens,Shrub_Trees,92.94,8.25,91.76,27.65,18.95,74.62,2
F24-3537,CIAT-32380,2,3.0,Genetic_bank,Desmanthus pubescens,Shrub_Trees,93.3,8.76,91.24,29.33,30.9,78.27,2
F24-3538,CIAT-33249,2,5.0,Genetic_bank,Desmodium velutinum,Shrub_Trees,93.13,9.68,90.32,16.48,42.75,79.24,2
F24-3539,CIAT-172,2,109.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,91.18,10.02,89.98,14.34,35.0,86.21,2
F24-3540,CIAT-1467,2,111.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,92.62,8.54,91.46,13.64,34.78,74.94,4
F24-3541,CIAT-1475,2,113.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,90.79,8.75,91.24,17.29,37.43,72.12,4
F24-3542,CIAT-1650,2,115.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,91.92,12.67,87.33,15.65,34.65,103.48,2
F24-3543,CIAT-1706,2,117.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,92.7,14.73,85.27,19.4,31.88,99.59,2
F24-3544,CIAT-1727,2,119.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,92.12,13.82,86.18,18.76,34.12,101.34,2
