gene_bank_breeding_id,tax_name,functional_group,ch4_percentage_8h,ch4_percentage_24h,ch4_intensity_ml_g_tddm,tddm_mg_g,ch4_intensity_decrease_percentage,benchmark_vs_control,ch4_intensity_category,tddm_category,score_ch4_intensity,score_tddm,composite_score,x,overall_rank,selected,ch4_percentage_8h_reduction_percentage,ch4_percentage_24h_reduction,top_10_percentage_of_methane_emitters
Gene bank / Breeding ID,Tax Name,"Functional 
Group",CH4% (8h),CH4% (24h),"CH4 Intensity 
[ml/g TDDM]",TDDM [mg/g],CH4 Intensity  Decrease%,Benchmark vs. Control,"CH4 Intensity 
Category","TDDM 
Category","Score
CH4 Intensity","Score
TDDM","Composite 
Score",,"Overall 
Rank",Selected,"CH4% (8h)
Reduction%","CH4% (24h)
Reduction%",Top 10% of methane emitters
CIAT-9435,Desmanthus pubescens,Shrub,16.03333333,18.91088125,44.68897753,43.25556652,0.35,,Low,Not High,0,0,0,-99,0,0,-0.147,-0.208,
CIAT-9530,Crotalaria maypurensis,Herbaceous legume,17.01666667,19.20635037,51.12426414,68.20211518,0.26,,Medium,High,0,0,0,-99,0,0,-0.217,-0.227,
CIAT-9537,Crotalaria sagittalis,Herbaceous legume,13.65,15.84376108,61.08167194,31.68683759,0.12,,High,Not High,0,0,0,-99,0,0,0.024,-0.012,
CIAT-955,Clitoria ternatea,Climber,12.82222222,14.54174742,45.4542608,59.6485888,0.34,,Medium,Not High,0,0,0,-99,0,0,0.083,0.071,
CIAT-9562,Eriosema diffusum,Herbaceous legume,16.84,18.08730867,45.1294384,28.53385037,0.35,,Medium,Not High,0,0,0,-99,0,0,-0.204,-0.155,
CIAT-9690,Aeschynomene histrix,Herbaceous legume,13.28333333,14.5860864,48.22524491,52.97040787,0.3,,Medium,Not High,0,0,0,-99,0,0,0.05,0.068,
CIAT-989,Indigofera hirsuta,Herbaceous legume,14.91666667,15.99487279,29.71202034,50.4755836,0.57,,Low,Not High,0,0,0,-99,0,0,-0.067,-0.021,
CIAT-9900,Pueraria phaseoloides,Climber,13.71666667,14.95767063,49.78747516,55.77349618,0.28,,Medium,Not High,0,0,0,-99,0,0,0.019,0.045,
CIAT-9982,Crotalaria incana,Herbaceous legume,17.05,18.99978192,47.26025984,72.63736918,0.32,,Medium,High,0,0,0,-99,0,0,-0.219,-0.213,
CIAT-BH08_1149,Brachiaria humidicola,Grass,16.53333333,18.5981859,55.71627267,58.06992167,0.19,,High,Not High,0,0,0,-99,0,0,-0.182,-0.188,
CIAT-BH16B_0733,Brachiaria humidicola,Grass,16.64444444,18.63397841,54.41194986,58.61707648,0.21,,Medium,Not High,0,0,0,-99,0,0,-0.19,-0.19,
CIAT-BH16B_0741,Brachiaria humidicola,Grass,16.26666667,18.49899629,54.44116853,58.18267308,0.21,,Medium,Not High,0,0,0,-99,0,0,-0.163,-0.181,
CIAT-BH16B_1194,Brachiaria humidicola,Grass,16.06666667,18.07229238,54.38707133,57.93000077,0.21,,Medium,Not High,0,0,0,-99,0,0,-0.149,-0.154,
CIAT-BH16B_1618,Brachiaria humidicola,Grass,16.28888889,17.48367649,52.17842383,56.34690149,0.25,,Medium,Not High,0,0,0,-99,0,0,-0.165,-0.117,
CIAT-BH16B_1707,Brachiaria humidicola,Grass,15.9,18.00404635,59.51626446,55.72820542,0.14,,High,Not High,0,0,0,-99,0,0,-0.137,-0.15,
CIAT-BH16B_2165,Urochloa humidicola,Grass,13.98888889,15.54903804,39.15382911,55.17289595,0.43,,Low,Not High,0,0,0,-99,0,0,0,0.007,
CIAT-BH16B_2167,Urochloa humidicola,Grass,13.7125,15.25226146,40.89717958,48.15224217,0.41,,Low,Not High,0,0,0,-99,0,0,0.019,0.026,
CIAT-BH16_0550,Brachiaria humidicola,Grass,15.87777778,18.07345417,57.31433634,56.78334988,0.17,,High,Not High,0,0,0,-99,0,0,-0.135,-0.154,
CIAT-BH16_0562,Brachiaria humidicola,Grass,16.225,18.18753445,58.25749703,56.47482607,0.16,,High,Not High,0,0,0,-99,0,0,-0.16,-0.162,
CIAT-BH16_1763,Urochloa humidicola,Grass,14.1,15.43944213,38.74068246,55.57656457,0.44,,Low,Not High,0,0,0,-99,0,0,-0.008,0.014,
CIAT-BH16_3249,Brachiaria humidicola,Grass,16.27777778,18.22606781,54.88118786,58.21011912,0.21,,Medium,Not High,0,0,0,-99,0,0,-0.164,-0.164,
CIAT-BH22_0071,Urochloa humidicola,Grass,13.2,14.54637746,49.04048929,37.45650923,0.29,,Medium,Not High,0,0,0,-99,0,0,0.056,0.071,
CIAT-BH22_0132,Urochloa humidicola,Grass,14.7625,16.1575486,53.94522769,51.02685895,0.22,,Medium,Not High,0,0,0,-99,0,0,-0.056,-0.032,
CIAT-BH22_0456,Urochloa humidicola,Grass,12.72222222,14.1369111,61.82357752,33.26528863,0.11,,High,Not High,0,0,0,-99,0,0,0.09,0.097,
CIAT-BH22_1258,Urochloa humidicola,Grass,14.33333333,15.80024542,61.34236585,54.66239262,0.11,,High,Not High,0,0,0,-99,0,0,-0.025,-0.009,
CIAT-BH22_1267,Urochloa humidicola,Grass,13.64,15.38351526,71.4600433,29.2290841,-0.03,,High,Not High,0,0,0,-99,0,0,0.025,0.018,
CIAT-BH22_1303,Urochloa humidicola,Grass,14,15.59058186,44.01892,40.12741923,0.36,,Low,Not High,0,0,0,-99,0,0,-0.001,0.004,
CIAT-BH22_1370,Urochloa humidicola,Grass,14.65,15.82534603,74.2062803,47.27657957,-0.07,,High,Not High,0,0,0,-99,0,0,-0.048,-0.011,
CIAT-BH22_1375,Urochloa humidicola,Grass,14.53333333,15.89079502,57.3046479,53.51674299,0.17,,High,Not High,0,0,0,-99,0,0,-0.039,-0.015,
CIAT-BH22_1706,Urochloa humidicola,Grass,13.95714286,15.23935233,59.33842343,50.95037132,0.14,,High,Not High,0,0,0,-99,0,0,0.002,0.027,
CIAT-BH22_1832,Urochloa humidicola,Grass,13.04,14.11534686,88.5725063,26.19711151,-0.28,,High,Not High,0,0,0,-99,0,0,0.067,0.099,
CIAT-BH22_1872,Urochloa humidicola,Grass,12.96666667,14.10541699,64.56952557,30.32790218,0.07,,High,Not High,0,0,0,-99,0,0,0.073,0.099,
CIAT-BH22_2046,Urochloa humidicola,Grass,15.55714286,16.45715898,101.5880027,19.16584467,-0.47,,High,Not High,0,0,0,-99,0,0,-0.113,-0.051,
CIAT-BH22_2074,Urochloa humidicola,Grass,12.8,14.11223096,51.05014551,38.06719253,0.26,,Medium,Not High,0,0,0,-99,0,0,0.085,0.099,
CIAT-BH22_2189,Urochloa humidicola,Grass,14.3,15.80185862,50.69621306,51.38446612,0.27,,Medium,Not High,0,0,0,-99,0,0,-0.023,-0.009,
CIAT-BH22_2225,Urochloa humidicola,Grass,13.33333333,14.50806962,104.3503252,36.14818599,-0.51,,High,Not High,0,0,0,-99,0,0,0.046,0.073,
CIAT-BH22_2508,Urochloa humidicola,Grass,14.02,15.14316138,55.23738445,31.70866044,0.2,,Medium,Not High,0,0,0,-99,0,0,-0.003,0.033,
CIAT-BH22_3115,Urochloa humidicola,Grass,14.35714286,15.62420112,49.10487787,51.74452341,0.29,,Medium,Not High,0,0,0,-99,0,0,-0.027,0.002,
CIAT-BH22_3507,Urochloa humidicola,Grass,14.34,15.31389597,90.93040913,45.27754218,-0.31,,High,Not High,0,0,0,-99,0,0,-0.026,0.022,
CIAT-BH22_3521,Urochloa humidicola,Grass,14.94285714,16.28368729,53.41831992,51.50300207,0.23,,Medium,Not High,0,0,0,-99,0,0,-0.069,-0.04,
CIAT-BH22_4092,Urochloa humidicola,Grass,14.475,16.09518341,75.95546641,51.83506128,-0.1,,High,Not High,0,0,0,-99,0,0,-0.035,-0.028,
CIAT-BH22_4169,Urochloa humidicola,Grass,14.22857143,15.62284588,89.52916338,44.07261059,-0.29,,High,Not High,0,0,0,-99,0,0,-0.018,0.002,
CIAT-BH22_4253,Urochloa humidicola,Grass,13.95714286,15.36644145,45.10520438,54.97226169,0.35,,Medium,Not High,0,0,0,-99,0,0,0.002,0.019,
CIAT-BH22_4454,Urochloa humidicola,Grass,12.88888889,14.1905748,45.6518782,40.17402135,0.34,,Medium,Not High,0,0,0,-99,0,0,0.078,0.094,
CIAT-BH22_4865,Urochloa humidicola,Grass,14.57777778,15.75710442,70.34303406,45.60908469,-0.02,,High,Not High,0,0,0,-99,0,0,-0.043,-0.006,
CIAT-BR02_0465,Brachiaria interespecifico,Grass,14.35555556,15.26239548,48.94739166,44.27514191,0.29,,Medium,Not High,0,0,0,-99,0,0,-0.027,0.025,
CIAT-BR02_1752,Brachiaria interespecifico,Grass,13.97777778,14.6106914,33.82558661,67.38520137,0.51,,Low,High,1.388,1.749,4.525,4.525,3,1,0,0.067,
CIAT-BR02_1794,Brachiaria interespecifico,Grass,13.78888889,14.50946411,35.76781532,63.96971335,0.48,,Low,High,1.195,1.392,3.782,3.782,16,1,0.014,0.073,
