id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
0,ARIG-8/IG:154361,Grass,11.24,13.51,11.24,55.37
0,CANELA/DEFRA//Alanda,Grass,11.61,13.26,11.61,53.93
0,GIZA-126/IG:154361,Grass,11.82,13.51,11.82,59.8
0,GP - 2920/4,Grass,17.68,16.9,17.68,48.26
0,Sara/4/H.Spont.96-3/3/Roho//Alger/Ceres362-1-1/5/Mundah,Grass,19.23,17.93,19.23,42.88
0,6B89.2027/CHAMICO//TRADITION/3/MSEL/LOGAN-BAR,Grass,11.72,13.6,11.72,50.41
0,Emir - A17/1,Grass,16.77,16.6,16.77,26.12
0,Stirling/3/ Canela/ Limon/ Bichy 2000,Grass,13.06,14.43,13.06,81.69
0,Emir - 29209/4,Grass,17.25,16.58,17.25,54.65
0,Emir - A17/1,Grass,15.01,16.02,15.01,39.43
0,(Emir/907-12) - Crete6/2,Grass,17.36,17.15,17.36,40.26
0,Morex - 2920/4,Grass,17.38,16.93,17.38,33.63
0,Emir - A17/1,Grass,16.96,17.17,16.96,45.88
0,Emir - HB2032,Grass,17.09,16.78,17.09,46.09
0,Morex - HB2032,Grass,17.5,16.93,17.5,34.19
0,Morex - 2920/4,Grass,12.92,12.59,12.92,84.03
0,Emir - A17/1,Grass,12.94,14.75,12.94,87.08
0,Alanda,Grass,12.76,14.75,12.76,87.48
0,Emir - A17,Grass,12.66,14.65,12.66,87.06
0,Emir - HB2032,Grass,12.61,14.56,12.61,85.37
0,ArabiAbiad/Arar//H.spont.41-5/Tadmor/3/Zanbakian/4/Furat-3,Grass,13.14,13.07,13.14,81.96
0,VLB 118/5/Arar/H.spont.19-15//Hml/3/H.spont.41-1/Tadmor/4/Tadmor//ER/Apm,Grass,13.52,13.38,13.52,83.77
0,GP - 2920/4,Grass,14.04,14.48,14.04,80.14
0,GP - 2920/4,Grass,14.12,13.91,14.12,75.3
0,H.spont.41-3/SLB34-40/7/Lignee527//Bahtim/DL71/3/Api/CM67//Mzq/5/Alanda-01/4/WI2291/3/Api/CM67//L2966-69/6/Lignee527/Chn-01//Arar/Rhn-03,Grass,12.39,14.29,12.39,88.43
0,Tadmor//ER/Apm/3/H.spont.38-3/Akrash-01/4/ATAHUALPA,Grass,12.66,12.77,12.66,80.76
0,Emir - A17,Grass,13.3,13.25,13.3,73.67
0,Commander /IG 38660,Grass,10.73,12.82,10.73,77.5
0,Emir - HB2032,Grass,10.98,12.82,10.98,83.01
0,(Emir/907-12) - Crete6/2,Grass,12.72,12.13,12.72,71.42
0,Morex - 2920/4,Grass,12.36,11.53,12.36,86.6
0,ICNB93-369/4/Moroc9-75//WI2291/CI01387/3/H.spont.41-1,Grass,13.04,14.95,13.04,84.89
0,GIZA-126/IG:153839,Grass,11.8,13.56,11.8,48.23
0,Baudin/IG 38821,Grass,11.83,12.37,11.83,87.71
0,GP - A17/1,Grass,13.72,13.8,13.72,83.95
0,Emir - 3811/5,Grass,13.23,15.09,13.23,87.99
0,PETUNIA2/M111//QUINA/M112/3/IG 144951,Grass,12.76,14.71,12.76,87.8
0,Soufara-02/3/RM1508/Por//WI2269/4/Hml-02/ArabiAbiad//ER/Apm/5/H.spont.41-1,Grass,12.93,15.23,12.93,87.26
