32_no,32_date,32_requisitioner,32_gene_bank_id,32_genus,32_species,32_tax_name,32_family,32_order,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_ndf_digestibillity_in_24h,32_remarks
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks
91,45789,Genetic bank,ABC-13301,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,F24-3637,14,34,1,3,94,0.5831,1.0173,,0.4342,29.02028,6.264898419,271.9566264,-162.2433736,-59.65781226,
92,45789,Genetic bank,ABC-15401,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24-3638,14,34,1,1,96,0.5898,0.8213,,0.2315,234.625,50.33521051,231.38445,-0.11555,-0.049938533,
93,45789,Genetic bank,ABC-15401,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24-3638,14,34,1,2,97,0.5953,0.9446,,0.3493,117.104675,25.1079548,231.5232807,-117.7767193,-50.87035696,
94,45789,Genetic bank,ABC-15401,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24-3638,14,34,1,3,98,0.5879,0.8048,,0.2169,249.225,53.46741754,231.38445,14.48445,6.259906403,
95,45789,LMF,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25-0017,14,34,1,1,100,0.5798,0.7872,,0.2074,21.29791149,9.312682984,#DIV/0!,#DIV/0!,#DIV/0!,
96,45789,LMF,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25-0017,14,34,1,2,101,0.5751,0.7141,,0.139,89.42391239,39.14822728,#DIV/0!,#DIV/0!,#DIV/0!,
97,45789,LMF,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25-0017,14,34,1,3,102,0.6066,0.7425,,0.1359,92.70657846,40.55289182,#DIV/0!,#DIV/0!,#DIV/0!,
98,45789,LMF,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25-0018,14,34,1,1,103,0.5945,0.7858,,0.1913,32.93273992,14.68685613,#DIV/0!,#DIV/0!,#DIV/0!,
99,45789,LMF,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25-0018,14,34,1,2,104,,,,,,,,,,
100,45789,LMF,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25-0018,14,34,1,3,105,0.5924,0.6997,,0.1073,117.1121261,52.18618447,#DIV/0!,#DIV/0!,#DIV/0!,
101,45789,LMF,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,F25-0008,14,34,1,1,106,,,,,,,,,,
