"id_lab","net_gas_8h_ml","net_gas_8h_ml_SE","net_gas_24h_ml","net_gas_24h_ml_SE","ch4_8h_ml","ch4_8h_ml_SE","ch4_24h_ml","ch4_24h_ml_SE","ch4_percentage_in_gas_8h","ch4_percentage_in_gas_8h_SE","ch4_percentage_in_gas_24h","ch4_percentage_in_gas_24h_SE","gas_ml_g_dm_incubated_24h","gas_ml_g_dm_incubated_24h_SE","ch4_ml_g_ndf_digested_24h","ch4_ml_g_ndf_digested_24h_SE","methane_intensity","methane_intensity_SE","tddm","tddm_SE"
"F25-2108",30.6057678112791,1.04933318232563,79.8840510216827,2.12642513802204,3.78483142957711,0.149119663687971,11.1821561201621,0.360538762436997,12.4845065556396,0.196266199626231,15.0474156101125,0.180870106832594,156.918573968135,4.8150398921608,36.815407812223,10.7383968664465,55.7822747841668,34.7531969137203,62.2170890416303,5.53415945436231
"F25-2109",32.326614280168,1.04933318232563,77.5732000483493,2.12642513802204,3.95585898513267,0.149119663687971,10.5658472512732,0.360538762436997,12.3622843334174,0.196266199626231,14.6918600545569,0.180870106832594,149.775298090357,4.8150398921608,33.9536424744453,10.7383968664465,54.1193287308334,34.7531969137203,60.7606217027414,5.53415945436231
"F25-2110",30.4090996435014,1.04933318232563,75.0165138639049,2.12642513802204,3.48346204579933,0.149119663687971,10.2953178946065,0.360538762436997,11.6067287778618,0.196266199626231,15.3251933878902,0.180870106832594,146.553949445913,4.8150398921608,27.2518099133342,10.7383968664465,54.7185385330557,34.7531969137203,58.6115814960747,5.53415945436231
"F25-2111",30.1632644335013,1.04933318232563,75.1148479472382,2.12642513802204,3.63674029913267,0.149119663687971,10.5128820557176,0.360538762436997,12.1956176667507,0.196266199626231,15.3474156101125,0.180870106832594,144.953288668135,4.8150398921608,29.1255860800008,10.7383968664465,56.2078734397223,34.7531969137203,56.7990110171858,5.53415945436231
"F25-2112",28.1474157123902,1.04933318232563,70.1489767072382,2.12642513802204,3.47847978535489,0.149119663687971,9.67520676971763,0.360538762436997,12.5178398889729,0.196266199626231,14.8363044990013,0.180870106832594,137.624067457024,4.8150398921608,20.6997733555564,10.7383968664465,58.7854293919445,34.7531969137203,50.1703525449636,5.53415945436231
"F25-2113",31.2449393579458,1.04933318232563,76.4915251239049,2.12642513802204,3.93587258268822,0.149119663687971,10.9455397312732,0.360538762436997,12.7067287778618,0.196266199626231,15.5363044990013,0.180870106832594,149.584988023691,4.8150398921608,18.4314462624453,10.7383968664465,62.7433218675001,34.7531969137203,51.197907268297,5.53415945436231
"F25-2114",33.0149528690569,1.04933318232563,80.0807191916827,2.12642513802204,4.17902818902155,0.149119663687971,11.289032979051,0.360538762436997,12.7622843334174,0.196266199626231,15.1585267212236,0.180870106832594,154.904499768135,4.8150398921608,17.7704338431119,10.7383968664465,63.3764245508335,34.7531969137203,51.7481203627414,5.53415945436231
"F25-2115",32.769117660168,1.04933318232563,77.3765318816827,2.12642513802204,4.16055777035489,0.149119663687971,10.8352744457176,0.360538762436997,12.8067287778618,0.196266199626231,15.0251933878902,0.180870106832594,150.416590745913,4.8150398921608,20.3727987511119,10.7383968664465,60.5144871786112,34.7531969137203,52.8960011016303,5.53415945436231
"F25-2116",30.9991041468347,1.04933318232563,75.9015206205715,2.12642513802204,3.884828998466,0.149119663687971,10.7819404967176,0.360538762436997,12.6511732223063,0.196266199626231,15.4140822767791,0.180870106832594,146.449612234802,4.8150398921608,22.2959682477786,10.7383968664465,58.4250964352779,34.7531969137203,54.9454457649636,5.53415945436231
"F25-2117",32.1299461146125,1.04933318232563,77.9173693427938,2.12642513802204,3.92900558591044,0.149119663687971,10.7472654401621,0.360538762436997,12.3511732223063,0.196266199626231,14.9474156101125,0.180870106832594,149.238928834802,4.8150398921608,21.6832600214453,10.7383968664465,59.2996203219446,34.7531969137203,53.5431557305192,5.53415945436231
"F25-2118",29.1799235957236,1.04933318232563,76.6390262494604,2.12642513802204,3.57424079413267,0.149119663687971,10.5281279346065,0.360538762436997,12.3845065556396,0.196266199626231,14.702971165668,0.180870106832594,151.88181241258,4.8150398921608,22.3626164266675,10.7383968664465,61.3180970597223,34.7531969137203,51.5533895927414,5.53415945436231
"F25-2119",32.2774472412791,1.04933318232563,80.0807191916827,2.12642513802204,3.93493840902155,0.149119663687971,11.0233711579398,0.360538762436997,12.3067287778618,0.196266199626231,14.8807489434458,0.180870106832594,162.467837890357,4.8150398921608,21.1924850188897,10.7383968664465,63.3823015086112,34.7531969137203,52.6440098627414,5.53415945436231
"F25-2120",31.6382756946125,1.04933318232563,78.3598727205715,2.12642513802204,3.96874075013267,0.149119663687971,10.9471376612732,0.360538762436997,12.6511732223063,0.196266199626231,15.002971165668,0.180870106832594,154.200522623691,4.8150398921608,17.6255566438897,10.7383968664465,64.9939357775001,34.7531969137203,50.6415399249636,5.53415945436231
