subset,requisitioner,no,id_lab,id,n_replicates,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,Genetic bank,181,F24-3461,CIAT-9349,2,Fabales,Fabaceae,Mucuna,pruriens,Mucuna pruriens,Herbaceous_legumes,6,91.42,8.63,91.37,30.38,27.8,55.56
1,Genetic bank,183,F24-3462,CIAT-9356,2,Fabales,Fabaceae,Tephrosia,noctiflora,Tephrosia noctiflora,Shrub_Trees,6,93.03,8.36,91.64,30.62,20.6,55.98
1,Genetic bank,185,F24-3463,CIAT-9432,2,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,6,91.28,8.03,91.97,31.25,17.92,44.95
1,Genetic bank,187,F24-3464,CIAT-9433,2,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,6,94.27,9.44,90.56,31.68,21.94,43.14
1,Genetic bank,189,F24-3465,CIAT-9435,2,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,6,94.59,8.48,91.52,26.78,36.06,53.83
1,Genetic bank,191,F24-3466,CIAT-9530,2,Fabales,Fabaceae,Crotalaria,maypurensis,Crotalaria maypurensis,Herbaceous_legumes,6,93.26,8.79,91.21,32.65,10.84,32.2
1,Genetic bank,19,F24-3425,CIAT-955,2,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.82,5.7,94.3,22.01,21.55,61.67
1,Genetic bank,193,F24-3467,CIAT-9562,2,Fabales,Fabaceae,Eriosema,diffusum,Eriosema diffusum,Herbaceous_legumes,6,93.93,8.4,91.6,18.11,51.96,64.55
1,Genetic bank,111,F24-3426,CIAT-989,2,Fabales,Fabaceae,Indigofera,hirsuta,Indigofera hirsuta,Herbaceous_legumes,5,92.37,13.66,86.34,25.35,47.63,53.1
1,Genetic bank,195,F24-3468,CIAT-9982,2,Fabales,Fabaceae,Crotalaria,incana,Crotalaria incana,Herbaceous_legumes,6,93.82,8.65,91.35,26.86,14.33,46.83
1,Breeding,91,F24-3602,CIAT-BH-08-1149,2,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,94.43,13.32,86.68,7.53,28.61,68.73
1,Breeding,93,F24-3603,CIAT-BH-16-0550,2,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,94.11,11.52,88.48,6.43,30.15,69.16
1,Breeding,95,F24-3604,CIAT-BH-16-0562,2,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,95.17,11.17,88.83,5.94,30.47,69.59
1,Breeding,97,F24-3605,CIAT-BH-16-3249,2,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,95.82,12.04,87.96,6.65,28.86,69.65
1,Breeding,99,F24-3606,CIAT-BH-16-B-0733,2,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.31,12.64,87.36,8.1,29.36,68.83
1,Breeding,101,F24-3607,CIAT-BH-16-B-0741,2,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.67,14.23,85.77,7.5,28.14,65.68
1,Breeding,103,F24-3608,CIAT-BH-16-B-1194,2,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.74,11.91,88.09,5.47,29.54,67.77
1,Breeding,105,F24-3609,CIAT-BH-16-B-1618,2,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,97.16,13.98,86.02,8.13,28.05,66.39
1,Breeding,107,F24-3610,CIAT-BH-16-B-1707,2,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.95,10.52,89.48,5.97,26.74,68.59
1,Breeding,51,F24-3582,CIAT-BR-02-1752,2,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.03,15.7,84.3,10.92,21.14,55.41
1,Breeding,53,F24-3583,CIAT-BR-02-1794,2,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,97.05,15.02,84.98,9.39,21.84,55.76
1,Breeding,55,F24-3584,CIAT-BR-06-0423,2,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.77,15.97,84.03,11.01,22.02,57.36
1,Breeding,57,F24-3585,CIAT-BR-09-1232,2,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,97.24,13.8,86.2,10.08,21.03,55.66
1,Breeding,59,F24-3586,CIAT-BR-12-4951,2,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.75,15.48,84.52,11.1,23.29,56.86
1,Breeding,61,F24-3587,CIAT-BR-15-0722,2,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.22,14.06,85.94,10.31,26.18,60.21
1,Breeding,63,F24-3588,CIAT-BR-15-6487,2,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.07,13.57,86.43,9.61,24.55,59.73
1,Breeding,65,F24-3589,CIAT-BR-19-0029,2,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.07,14.13,85.87,10.08,23.98,58.41
1,Breeding,67,F24-3590,CIAT-BR-19-0423,2,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,95.35,13.9,86.1,10.11,24.49,59.22
