id_lab,id,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
F24-3496,CIAT-19129,Alysicarpus rugosus,Herbaceous_legumes,93.46,11.98,88.02,17.81,36.71,62.08,34.59,62.25,133.12,49.9,3.75,15.91,18.28,24.34,49.18,252.14
F24-3497,CIAT-19133,Alysicarpus rugosus,Herbaceous_legumes,93.13,11.81,88.19,17.49,35.06,55.15,36.85,65.88,141.43,48.23,3.42,15.61,18.06,25.59,55.12,-223.92
F24-3498,CIAT-19137,Alysicarpus rugosus,Herbaceous_legumes,93.77,10.96,89.04,18.13,33.34,57.07,37.39,67.9,144.72,53.2,3.68,15.31,17.59,25.49,48.49,578.79
F24-3499,CIAT-19138,Alysicarpus rugosus,Herbaceous_legumes,92.69,11.37,88.63,21.32,32.54,54.03,34.15,62.59,134.98,54.86,4.07,15.26,17.55,23.69,43.21,290.69
F24-3500,CIAT-19139,Alysicarpus ovalifolius,Herbaceous_legumes,94.61,12.04,87.96,18.54,35.03,58.31,30.61,56.94,120.28,52.41,4.37,14.24,17.2,20.77,39.74,239.14
F24-3501,CIAT-19213,Clitoria ternatea,Herbaceous_legumes,93.84,11.79,88.21,31.12,37.56,51.31,50.45,71.89,153.19,63.66,4.15,14.99,16.09,24.65,39.14,194.95
F24-3502,CIAT-19421,Uraria lagopodioides,Herbaceous_legumes,94.09,18.68,81.32,20.04,27.8,46.04,41.01,56.9,120.89,54.27,4.49,14.13,15.13,18.29,33.82,-270.24
F24-3503,CIAT-19566,Tephrosia noctiflora,Shrub_Trees,93.74,12.42,87.58,25.36,19.49,42.6,45.23,68.65,146.32,64.11,4.39,15.42,16.28,23.83,37.31,595.67
F24-3504,CIAT-19667,Indigofera hirsuta,Herbaceous_legumes,92.42,9.96,90.04,26.0,37.56,50.53,30.63,46.87,101.39,44.81,4.44,13.07,14.31,14.51,32.52,-324.21
F24-3505,CIAT-19673,Alysicarpus rugosus,Herbaceous_legumes,92.51,11.98,88.02,25.41,27.8,53.08,42.48,65.45,141.49,51.27,3.64,14.38,15.9,22.51,43.95,-505.48
F24-3506,CIAT-19895,Aeschynomene americana,Herbaceous_legumes,93.36,11.41,88.59,25.26,25.71,62.06,37.07,75.15,160.96,67.43,4.23,14.14,15.62,25.13,38.27,100.81
F24-3507,CIAT-20093,Canavalia sp.,Herbaceous_legumes,94.36,12.87,87.13,24.07,16.58,50.41,39.24,73.92,156.59,65.75,4.25,14.71,15.94,24.97,37.98,162.04
F24-3508,CIAT-20113,Canavalia sp.,Herbaceous_legumes,94.64,15.79,84.21,18.07,15.92,48.43,38.5,78.2,165.17,65.3,3.97,13.02,15.11,24.95,38.26,203.42
F24-3509,CIAT-20125,Coursetia caribaea,Herbaceous_legumes,93.5,13.24,86.76,20.44,18.08,44.23,32.16,63.55,135.87,57.96,4.35,15.43,17.01,23.1,40.0,-114.46
F24-3510,CIAT-20298,Canavalia sp.,Herbaceous_legumes,93.66,16.19,83.81,22.85,21.72,43.09,34.42,67.24,143.52,56.36,3.98,13.89,15.34,22.05,39.36,-380.08
F24-3511,CIAT-20305,Canavalia sp.,Herbaceous_legumes,93.54,18.34,81.66,23.35,19.38,39.7,40.66,68.91,147.24,62.07,4.56,12.71,14.72,21.85,35.46,523.12
F24-3512,CIAT-20803,Canavalia sp.,Herbaceous_legumes,93.38,15.93,84.06,22.07,15.58,49.53,35.35,68.27,146.13,55.7,3.86,13.8,15.98,23.37,42.61,344.33
