id_lab,id,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
F24-3531,CIAT-24360,Vigna umbellata,Herbaceous_legumes,92.73,17.22,82.78,23.17,28.73,53.68,32.75,57.94,124.94,52.16,4.19,13.99,15.44,19.32,37.12,-1517.27
F24-3532,CIAT-24466,Vigna umbellata,Herbaceous_legumes,92.86,19.77,80.23,22.39,20.0,37.53,37.51,60.16,129.53,61.87,4.85,13.63,14.71,19.08,31.71,321.02
F24-3533,CIAT-32246,Chamaecrista nictitans,Herbaceous_legumes,91.54,8.03,91.97,26.83,26.64,79.4,33.19,55.68,121.6,42.36,3.56,13.48,15.7,19.15,46.27,94.81
F24-3534,CIAT-32365,Desmanthus virgatus,Shrub_Trees,90.93,7.5,92.5,30.19,28.73,75.76,25.61,40.89,89.89,35.6,4.1,12.9,14.73,13.35,37.06,120.66
F24-3535,CIAT-32373,Desmanthus pubescens,Shrub_Trees,92.34,8.66,91.34,28.4,19.99,77.89,28.32,43.44,94.05,42.56,4.62,12.34,14.13,13.35,31.7,69.85
F24-3536,CIAT-32379,Desmanthus pubescens,Shrub_Trees,92.94,8.25,91.76,27.65,18.95,74.62,29.21,58.07,124.89,48.67,3.9,12.51,14.68,18.35,38.16,294.76
F24-3537,CIAT-32380,Desmanthus pubescens,Shrub_Trees,93.3,8.76,91.24,29.33,30.9,78.27,25.84,52.84,113.23,39.27,3.47,12.96,15.24,17.25,44.36,379.47
F24-3538,CIAT-33249,Desmodium velutinum,Shrub_Trees,93.13,9.68,90.32,16.48,42.75,79.24,31.15,61.99,133.06,41.65,3.13,14.49,15.65,20.83,50.33,376.46
F24-3539,CIAT-172,Stylosanthes hamata,Herbaceous_legumes,91.18,10.02,89.98,14.34,35.0,86.21,31.77,74.82,164.07,39.14,2.38,12.82,14.22,23.32,64.24,498.96
F24-3540,CIAT-1467,Stylosanthes hamata,Herbaceous_legumes,92.62,8.54,91.46,13.64,34.78,74.94,43.33,97.52,210.51,58.12,2.76,12.74,14.4,30.31,52.16,241.64
