ch4_ml_g_ndf_digested_24h,CH4_Decrease_Pct,Benchmark_vs_Control,CH4_Category,TDDM_Category,Z_Score_CH4,Z_Score_TDDM,Composite_Score,Overall_Rank,CH4_8h_Reduction_Pct,CH4_24h_Reduction_Pct,Accession_ID,CH4_Intensity,TDDM,CH4_8h,category,functional_group
104.9527281,41.93541088,7.157222304,Low,Not High,0.315405151,0.464686786,0.315405151,58,-4.806637342,#N/A,CIAT-CIAT-6890,47.37954496,52.75161102,14.33333333,Category_2,Grasses
446.3044063,41.89279853,7.08908698,Low,Not High,0.312910423,-0.164394173,0.312910423,59,5.064685477,#N/A,CIAT-BH-22-0071,47.41431579,46.77034671,12.98333333,Category_2,Grasses
164.1455321,41.8766914,7.063332378,Low,Not High,0.311967436,0.218094037,0.311967436,60,-3.912937334,#N/A,CIAT-PM-21-0052,47.42745888,50.40702184,14.21111111,Category_2,Grasses
-144.0656959,41.68223491,6.752404827,Low,Not High,0.30058304,-0.113783727,0.30058304,61,5.39982298,#N/A,CIAT-BR-09-3660,47.58613149,47.25154781,12.9375,Category_2,Grasses
562.8969995,41.23749915,6.041291488,Low,Not High,0.274546119,-0.369492418,0.274546119,62,-0.013155479,#N/A,CIAT-PM-21-6629,47.949027,44.8202848,13.67777778,Category_2,Grasses
560.8003359,41.00891067,5.675788362,Low,Not High,0.261163476,0.115655686,0.261163476,63,2.911680912,#N/A,CIAT-CIAT-26110,48.13555062,49.43304409,13.27777778,Category_2,Grasses
428.0981492,40.86439599,5.444715603,Low,Not High,0.252702907,0.143271467,0.252702907,64,7.298935498,#N/A,CIAT-BR-15-3811,48.25347172,49.69561329,12.67777778,Category_2,Grasses
525.5025406,40.86410943,5.444257416,Low,Not High,0.252686131,0.229399093,0.252686131,65,-3.506710057,#N/A,CIAT-PM-21-6647,48.25370554,50.51450964,14.15555556,Category_2,Grasses
233.654891,40.84661584,5.416285909,Low,Not High,0.251661973,1.095594678,0.251661973,66,2.139849086,#N/A,CIAT-36087-MulatoII-Exc,48.26797997,58.7502457,13.38333333,Category_2,Grasses
128.7549526,40.70538437,5.190462874,Low,Not High,0.24339362,1.096258283,0.24339362,67,-20.74090226,#N/A,CIAT-PM-21-3670,48.38322203,58.75655522,16.5125,Category_2,Grasses
587.0033574,40.63590466,5.079367806,Low,Not High,0.239325951,0.329513685,0.239325951,68,-4.969128253,#N/A,CIAT-PM-21-6641,48.43991608,51.46639322,14.35555556,Category_2,Grasses
-350.9917264,40.60387852,5.028159385,Low,Not High,0.23745099,-0.674300828,0.23745099,69,5.674026392,#N/A,CIAT-BH-22-1370,48.46604877,41.92218458,12.9,Category_2,Grasses
1407.975018,40.43488724,4.757949617,Low,Not High,0.227557447,-0.032954254,0.227557447,70,2.226897788,#N/A,CIAT-PM-21-0079,48.60394228,48.02006964,13.37142857,Category_2,Grasses
