Obs_CH4_DMD,predCH4_Gas_DMD,gas_DMD,,Obs_CH4_DMD,predCH4_log_FP,log_FP,,Obs_CH4_DMI,predCH4_Gas_DMI,gas_DMI
68.03125399,70.14071561,440.7222163,,68.03125399,72.46774191,0.360046201,,19.28564295,18.47405495,119.72358
47.75477299,53.26097771,331.1482837,,47.75477299,53.20809627,0.479770388,,23.84878448,25.53096832,161.4734786
40.88064539,42.57130923,261.7568618,,40.88064539,42.17002465,0.587158286,,19.75600502,19.00889801,122.8878024
60.23094275,65.63993901,411.5056613,,60.23094275,67.73042893,0.385662549,,25.73154351,25.21198208,159.5863018
50.82738418,39.64216665,242.7424865,,50.82738418,40.29335176,0.614636248,,31.24410274,23.61297378,150.126297
43.23141221,37.87602516,231.2776718,,43.23141221,39.09377289,0.636145752,,33.30905861,23.08405601,146.9971296
45.4542608,49.63870433,307.6344862,,45.4542608,48.70462731,0.517079038,,24.1884174,20.31358644,130.6065609
45.1294384,40.5439761,248.5965353,,45.1294384,40.90757927,0.604999029,,23.76990102,23.70964093,150.6981963
54.41194986,47.08829745,291.0786538,,54.41194986,46.61374538,0.536780332,,19.29504962,15.48384824,102.033009
54.38707133,48.73606216,301.7750319,,54.38707133,47.98097328,0.523689139,,34.56497717,28.66027981,179.9870171
59.51626446,52.83983317,328.414446,,59.51626446,52.27980599,0.487000029,,12.82854272,10.22726399,70.9341634
58.25749703,51.45982378,319.4561875,,58.25749703,51.09122573,0.496577436,,34.3205787,28.77285419,180.6530262
38.74068246,37.99444364,232.0463791,,38.74068246,37.24976089,0.684941548,,31.82553127,27.07729283,170.6217971
54.88118786,48.31773437,299.059479,,54.88118786,47.87556298,0.524669372,,29.31313901,26.4937517,167.1694687
44.01892,45.52331917,280.9196795,,44.01892,44.22439593,0.562028623,,20.60930421,20.90392587,134.0991092
64.56952557,57.98691923,361.826485,,64.56952557,56.30995443,0.45697581,,31.70955825,35.1185992,218.195532
