id,tax_name_x,functional_group_x,ch4_percentage_8h,ch4_percentage_24h,ch4_intensity_ml_g_tddm,tddm_mg_g,subset,id_lab,tax_name_y,functional_group_y,ch4_8h_percentage,ch4_24h_percentage,methane_intensity,tddm
CIAT-23761,Uraria picta,Herbaceous_legumes,12.25555556,13.6838753,33.55707164,44.13828234,1,F24-3530,Uraria picta,Herbaceous_legumes,12.26,16.34,33.56,44.14
CIAT-24360,Vigna umbellata,Herbaceous_legumes,13.98888889,15.4368267,37.11554785,52.15976448,1,F24-3531,Vigna umbellata,Herbaceous_legumes,13.99,17.39,37.12,52.16
CIAT-24466,Vigna umbellata,Herbaceous_legumes,13.63333333,14.70778768,31.70993772,61.86948506,1,F24-3532,Vigna umbellata,Herbaceous_legumes,13.63,16.54,31.71,61.87
CIAT-25113,Centrosema brasilianum,Herbaceous_legumes,13.85,15.55644407,50.73751537,48.88767087,2,F24-3659,Centrosema brasilianum,Herbaceous_legumes,14.63,17.37,50.97,46.38
CIAT-25522,Centrosema macrocarpum,Herbaceous_legumes,12.93333333,14.1080228,53.305073,44.24639262,2,F25-0984,Centrosema macrocarpum,Herbaceous_legumes,13.89,17.57,45.94,52.0
CIAT-25704,Centrosema molle x acutifolium,Herbaceous_legumes,12.8,14.10579863,90.8429576,34.6347634,2,F25-0985,Centrosema molle x acutifolium,Herbaceous_legumes,13.27,14.97,52.85,38.46
CIAT-2613,Stylosanthes guianensis,Herbaceous_legumes,12.92857143,14.54113958,52.88948578,48.68946085,2,F24-3547,Stylosanthes guianensis,Herbaceous_legumes,11.63,12.83,40.06,38.22
CIAT-3001,Codariocalyx gyroides,Shrub_Trees,12.94444444,14.38288588,45.69627161,50.34650288,2,F25-1656,Codariocalyx gyroides,Shrub_Trees,12.54,15.48,42.84,33.07
CIAT-3001,Codariocalyx gyroides,Shrub_Trees,12.94444444,14.38288588,45.69627161,50.34650288,3,F25-1656,Codariocalyx gyroides,Shrub_Trees,12.27,15.02,49.08,36.92
CIAT-3187,Desmodium cajanifolium,Shrub_Trees,12.73333333,13.55197145,70.22694188,26.74953542,2,F25-0960,Desmodium cajanifolium,Shrub_Trees,12.83,16.39,35.08,70.3
CIAT-32246,Chamaecrista nictitans,Herbaceous_legumes,13.47777778,15.69613572,46.26638279,42.35789231,1,F24-3533,Chamaecrista nictitans,Herbaceous_legumes,13.48,19.09,46.27,42.36
CIAT-32365,Desmanthus virgatus,Shrub_Trees,12.9,14.72902561,37.05770871,35.60102007,1,F24-3534,Desmanthus virgatus,Shrub_Trees,12.93,17.92,37.06,35.6
CIAT-32373,Desmanthus pubescens,Shrub_Trees,12.34444444,14.13193635,31.70284475,42.5614198,1,F24-3535,Desmanthus pubescens,Shrub_Trees,12.34,17.58,31.7,42.56
CIAT-32379,Desmanthus pubescens,Shrub_Trees,12.94,15.1748309,59.75696345,44.26380353,2,F24-3536,Desmanthus pubescens,Shrub_Trees,12.53,16.94,38.16,48.67
CIAT-32380,Desmanthus pubescens,Shrub_Trees,12.71666667,14.41354528,45.76362614,54.2189552,2,F24-3537,Desmanthus pubescens,Shrub_Trees,12.96,17.42,44.36,39.27
