32_no,32_date,32_gene_bank_id,32_tax_name,32_family,32_order,32_genus2,32_species3,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_percentage_ndf_digestibility_in_24h,32_remarks2
No,Date,Gene Bank ID,Tax Name,Family,Order,Genus2,Species3,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks
10,45630,ABC-23326,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-0954,23,46,1,2,10,0.5978,0.5978,,0.174,305.2,63.68948247,191.68,17.68,9.223706177,
11,45630,ABC-23326,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-0954,23,46,1,3,11,0.6265,0.6265,,0.187,292.39168,60.99223082,191.756672,4.756672,2.480577051,
12,45630,ABC-13149,Desmodium strigillosum,Desmodium,strigillosum,Fabaceae,Fabales,Herbaceous,F25-0971,23,46,1,1,12,0.5805,0.5805,,0.244,225.43765,48.02291636,233.1931526,-10.80684736,-4.634290175,
13,45630,ABC-13149,Desmodium strigillosum,Desmodium,strigillosum,Fabaceae,Fabales,Herbaceous,F25-0971,23,46,1,2,13,0.5925,0.5925,,0.246,222.968775,47.54448204,232.960239,-13.03976102,-5.597419146,
14,45630,ABC-13149,Desmodium strigillosum,Desmodium,strigillosum,Fabaceae,Fabales,Herbaceous,F25-0971,23,46,1,3,14,0.6079,0.6079,,0.246,223.343875,47.58640453,233.1465699,-12.85343009,-5.513025604,
15,45630,ABC-13946,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Herbaceous,F25-0974,23,46,1,1,15,0.5891,0.5891,,0.366,103.218825,21.99801447,285.4258112,-80.57418875,-28.22946825,
16,45630,ABC-13946,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Herbaceous,F25-0974,23,46,1,2,16,0.5782,0.5782,,0.341,128.31265,27.34054793,285.482885,-55.51711501,-19.44674022,
17,45630,ABC-13946,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Herbaceous,F25-0974,23,46,1,3,17,0.5912,0.5912,,0.36,109.31265,23.29207406,285.482885,-74.51711501,-26.10213043,
18,45630,ABC-19867,Uraria lagopodioides,Uraria,lagopodioides,Fabaceae,Fabales,Herbaceous,F25-0980,23,46,1,1,18,0.5989,0.5989,,0.196,283.7877,59.14859843,212.4739829,16.47398295,7.753411837,
19,45630,ABC-19867,Uraria lagopodioides,Uraria,lagopodioides,Fabaceae,Fabales,Herbaceous,F25-0980,23,46,1,2,19,0.5836,0.5836,,0.297,182.5,38.06047967,212.346575,-84.653425,-39.86568891,
20,45630,ABC-19867,Uraria lagopodioides,Uraria,lagopodioides,Fabaceae,Fabales,Herbaceous,F25-0980,23,46,1,3,20,0.5903,0.5903,,0.22,259.6918,54.13721894,212.4315136,-7.56848637,-3.562788892,
21,45630,CIAT-798,Galactia striata,Galactia,striata,Fabaceae,Fabales,Climber,F25-1651,23,46,1,1,21,0.5851,0.5851,,0.2,263.0629007,56.80932338,263.4488197,63.44881969,24.08392635,
22,45630,CIAT-798,Galactia striata,Galactia,striata,Fabaceae,Fabales,Climber,F25-1651,23,46,1,2,22,0.5514,0.5514,,0.233,230.2481258,49.70298054,263.5541992,30.55419922,11.59313694,
23,45630,CIAT-798,Galactia striata,Galactia,striata,Fabaceae,Fabales,Climber,F25-1651,23,46,1,3,23,0.5686,0.5686,,0.173,290.0629007,62.64006472,263.4488197,90.44881969,34.33259629,
24,45630,CIAT-822,Calopogonium mucunoides,Calopogonium,mucunoides,Fabaceae,Fabales,Climber,F25-1652,23,46,1,1,24,0.5612,0.5612,,0.21,260.3544659,55.35282107,,,,
25,45630,CIAT-822,Calopogonium mucunoides,Calopogonium,mucunoides,Fabaceae,Fabales,Climber,F25-1652,23,46,1,2,25,0.5753,0.5753,,0.211,259.4485179,55.14918382,,,,
26,45630,CIAT-822,Calopogonium mucunoides,Calopogonium,mucunoides,Fabaceae,Fabales,Climber,F25-1652,23,46,1,3,26,0.5852,0.5852,,0.215,255.4485179,54.29893138,220.1783805,5.178380527,2.351902359,
27,45630,CIAT-852,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1653,23,46,1,1,27,0.5946,0.5946,,0.347,121.9358939,26.00267873,297.3566003,-49.64339974,-16.69490427,
28,45630,CIAT-852,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1653,23,46,1,2,28,0.5687,0.5687,,0.317,151.9358939,32.40014166,297.3566003,-19.64339974,-6.606007643,
29,45630,CIAT-852,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1653,23,46,1,3,29,0.5989,0.5989,,0.342,126.9358939,27.06892255,297.3566003,-44.64339974,-15.01342149,
30,45630,CIAT-907,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1654,23,46,1,1,30,0.5864,0.5864,,0.233,232.2091654,49.91500226,287.3826494,54.3826494,18.92342823,
31,45630,CIAT-907,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1654,23,46,1,2,31,0.5867,0.5867,,0.227,238.2091654,51.20474469,287.3826494,60.3826494,21.01123694,
32,45630,CIAT-907,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1654,23,46,1,3,32,0.5412,0.5412,,0.252,212.8372956,45.78748255,287.1529271,35.15292705,12.24188359,
33,45630,CIAT-1992,Stylosanthes guianensis,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F25-1655,23,46,1,1,33,0.604,0.604,,0.21,252.6089295,54.6052861,278.5881228,68.58812279,24.61990199,
34,45630,CIAT-1992,Stylosanthes guianensis,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F25-1655,23,46,1,2,34,0.5403,0.5403,,0.203,259.7013958,56.12721253,278.643807,75.643807,27.14713376,
35,45630,CIAT-1992,Stylosanthes guianensis,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F25-1655,23,46,1,3,35,0.5548,0.5548,,0.191,271.3315305,58.68765434,278.4210701,87.42107015,31.3988701,
36,45630,CIAT-3001,Codariocalyx gyroides,Codariocalyx,gyroides,Fabaceae,Fabales,Shrub,F25-1656,23,46,1,1,36,0.5586,0.5586,,0.302,170.5736401,36.09461588,273.3364186,-28.66358139,-10.48655775,
37,45630,CIAT-3001,Codariocalyx gyroides,Codariocalyx,gyroides,Fabaceae,Fabales,Shrub,F25-1656,23,46,1,2,37,0.5736,0.5736,,0.273,199.7626318,42.25431926,273.4457313,0.445731312,0.163005401,
38,45630,CIAT-3001,Codariocalyx gyroides,Codariocalyx,gyroides,Fabaceae,Fabales,Shrub,F25-1656,23,46,1,3,38,0.5617,0.5617,,0.266,206.5736401,43.71247623,273.3364186,7.336418607,2.684025292,
39,45630,CIAT-3304,Desmodium cajanifolium,Desmodium,cajanifolium,Fabaceae,Fabales,Shrub,F25-1657,23,46,1,1,39,0.5751,0.5751,,0.18,294.7436484,62.0848008,221.276843,41.27684302,18.65393706,
40,45630,CIAT-3304,Desmodium cajanifolium,Desmodium,cajanifolium,Fabaceae,Fabales,Shrub,F25-1657,23,46,1,2,40,0.5823,0.5823,,0.117,357.5538269,75.34526257,221.1883677,104.1883677,47.10390911,
41,45630,CIAT-3304,Desmodium cajanifolium,Desmodium,cajanifolium,Fabaceae,Fabales,Shrub,F25-1657,23,46,1,3,41,0.6057,0.6057,,0.183,291.5538269,61.43746196,221.1883677,38.18836767,17.26508861,
42,45630,CIAT-5713,Centrosema macrocarpum,Centrosema,macrocarpum,Fabaceae,Fabales,Climber,F25-1658,23,46,1,1,42,0.5692,0.5692,,0.213,260.4959917,55.01545869,217.3286276,4.328627584,1.991742934,
43,45630,CIAT-5713,Centrosema macrocarpum,Centrosema,macrocarpum,Fabaceae,Fabales,Climber,F25-1658,23,46,1,2,43,0.5846,0.5846,,0.209,264.4013493,55.85141439,217.2851879,8.285187922,3.813047728,
44,45630,CIAT-5713,Centrosema macrocarpum,Centrosema,macrocarpum,Fabaceae,Fabales,Climber,F25-1658,23,46,1,3,44,0.6039,0.6039,,0.222,251.4013493,53.10533011,217.2851879,-4.714812078,-2.169872748,
45,45630,CIAT-7381,Galactia glaucescens,Galactia,glaucescens,Fabaceae,Fabales,Herbaceous,F25-1659,23,46,1,1,45,0.5629,0.5629,,0.33,142.4488646,30.1511709,322.8688282,-7.131171764,-2.208690075,
46,45630,CIAT-7381,Galactia glaucescens,Galactia,glaucescens,Fabaceae,Fabales,Herbaceous,F25-1659,23,46,1,2,46,0.5804,0.5804,,0.319,153.5433354,32.49296391,322.9333891,3.93338909,1.218018707,
47,45630,CIAT-7381,Galactia glaucescens,Galactia,glaucescens,Fabaceae,Fabales,Herbaceous,F25-1659,23,46,1,3,47,0.6012,0.6012,,0.286,186.5433354,39.4764504,322.9333891,36.93338909,11.43684436,
48,45630,CIAT-7799,Dioclea guianensis,Dioclea,guianensis,Fabaceae,Fabales,Climber,F25-1660,23,46,1,1,48,0.5724,0.5724,,0.345,122.3146552,26.17393951,304.909234,-40.09076602,-13.14842634,
49,45630,CIAT-7799,Dioclea guianensis,Dioclea,guianensis,Fabaceae,Fabales,Climber,F25-1660,23,46,1,2,49,0.5741,0.5741,,0.319,148.6885069,31.79220886,305.1531614,-13.84683864,-4.53766842,
50,45630,CIAT-7799,Dioclea guianensis,Dioclea,guianensis,Fabaceae,Fabales,Climber,F25-1660,23,46,1,3,50,0.5632,0.5632,,0.341,126.5015811,27.05907021,305.0311977,-35.96880233,-11.79184379,
51,45630,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,23,46,1,1,51,,,,,,,,,,
52,45630,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,23,46,1,2,52,,,,,,,,,,
53,45630,CIAT-7803,Dioclea holtiana,Dioclea,holtiana,Fabaceae,Fabales,Climber,F25-1661,23,46,1,1,53,0.5856,0.5856,,0.293,178.589932,37.86975079,274.6470375,-18.35296252,-6.68238139,
54,45630,CIAT-7803,Dioclea holtiana,Dioclea,holtiana,Fabaceae,Fabales,Climber,F25-1661,23,46,1,2,54,0.591,0.591,,0.276,195.4014468,41.45117672,274.5372665,-1.46273352,-0.532799623,
55,45635,CIAT-7803,Dioclea holtiana,Dioclea,holtiana,Fabaceae,Fabales,Climber,F25-1661,23,46,1,3,55,0.599,0.599,,0.313,158.3072042,33.58896337,274.482381,-38.51761902,-14.03282021,
56,45635,CIAT-8182,Eriosema diffusum,Eriosema,diffusum,Fabaceae,Fabales,Herbaceous,F25-1662,23,46,1,1,56,0.5827,0.5827,,0.366,101.0818362,21.64114045,295.9433118,-70.05668821,-23.67233366,
57,45635,CIAT-8182,Eriosema diffusum,Eriosema,diffusum,Fabaceae,Fabales,Herbaceous,F25-1662,23,46,1,2,57,0.5877,0.5877,,0.34,126.9885132,27.19306997,295.8841823,-44.11581774,-14.90982634,
58,45635,CIAT-8182,Eriosema diffusum,Eriosema,diffusum,Fabaceae,Fabales,Herbaceous,F25-1662,23,46,1,3,58,0.5659,0.5659,,0.35,117.1751592,25.08163307,296.0024413,-53.99755868,-18.24226802,
59,45635,CIAT-8434,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1663,23,46,1,1,59,0.5842,0.5842,,0.237,231.0474609,49.36410946,292.1082141,55.10821412,18.86568452,
