24_no,24_date,24_requisitioner,24_set_ciat,24_ciat_lab_id,24_gene_bank_breeding_program_id,24_genus,24_species,24_tax_name,24_family,24_order,24_functional_group,24_batches_ciat,24_id_lab,24_replication,24_ndf_percentage_dm,24_av_adf_percentage_dm
111,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,"89,90,91",Green Meal,A,,#DIV/0!
112,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,"89,90,91",Green Meal,B,,
113,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,"89,90,91",Compound feed,A,,#DIV/0!
114,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,"89,90,91",Compound feed,B,,
115,46175,GENBANK,38,F263169,CIAT22574,Desmanthus,fruticosus,Desmanthus fruticosus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,71.41183186,71.01211018
116,46175,GENBANK,38,F263169,CIAT22574,Desmanthus,fruticosus,Desmanthus fruticosus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,70.61238849,
117,46175,GENBANK,38,F263170,CIAT8529,Mimosa,albolanata,Mimosa albolanata,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,69.20471844,69.61359459
118,46175,GENBANK,38,F263170,CIAT8529,Mimosa,albolanata,Mimosa albolanata,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,70.02247073,
119,46175,GENBANK,38,F263171,CIAT33510,Phyllodium,pulchellum,Phyllodium pulchellum,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,57.40047457,57.92426753
120,46175,GENBANK,38,F263171,CIAT33510,Phyllodium,pulchellum,Phyllodium pulchellum,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,58.44806048,
121,46175,GENBANK,38,F263172,CIAT33499,Phyllodium,pulchellum,Phyllodium pulchellum,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,68.19316236,69.00263701
122,46175,GENBANK,38,F263172,CIAT33499,Phyllodium,pulchellum,Phyllodium pulchellum,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,69.81211165,
123,46175,GENBANK,38,F263173,CIAT23111,Phyllodium,elegans,Phyllodium elegans,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,62.3043478,61.42804591
124,46175,GENBANK,38,F263173,CIAT23111,Phyllodium,elegans,Phyllodium elegans,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,60.55174403,
125,46175,GENBANK,38,F263174,CIAT23110,Phyllodium,elegans,Phyllodium elegans,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,61.1638059,60.71102127
126,46175,GENBANK,38,F263174,CIAT23110,Phyllodium,elegans,Phyllodium elegans,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,60.25823665,
127,46175,GENBANK,38,F263175,CIAT9360,Clitoria,falcata,Clitoria falcata,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,74.80724021,74.03704964
128,46175,GENBANK,38,F263175,CIAT9360,Clitoria,falcata,Clitoria falcata,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,73.26685906,
129,46175,GENBANK,38,F263176,CIAT21292,Canavalia,Gladiata,Canavalia Gladiata,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,49.56013622,48.68050515
130,46175,GENBANK,38,F263176,CIAT21292,Canavalia,Gladiata,Canavalia Gladiata,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,47.80087408,
131,46175,GENBANK,38,F260521,CIAT23035,Desmodium,laxiflorum,Desmodium laxiflorum,Fabaceae,Fabales,Herbaceous,"89,90,91",OT-006,A,50.39758332,50.76210953
132,46175,GENBANK,38,F260521,CIAT23035,Desmodium,laxiflorum,Desmodium laxiflorum,Fabaceae,Fabales,Herbaceous,"89,90,91",OT-006,B,51.12663574,
