10_sample_serial_no,10_date,10_requisitioner,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_batches_ciat,10_id_lab,10_observaciones
142,46203,JUAN CARDOSO,39,F263299, CIAT 17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,
143,46203,JUAN CARDOSO,39,F263300,CIAT 17462,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,
144,46203,JUAN CARDOSO,39,F263301,CIAT 9432,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,
145,46203,JUAN CARDOSO,39,F263302,CIAT 17768,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,
146,46203,JUAN CARDOSO,39,F263303,CIAT 22768,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,
147,46203,JUAN CARDOSO,39,F263304,CIAT 22598,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,
148,46203,JUAN CARDOSO,39,F263305,CIAT 18701,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"92,93,94",OT-032,
149,46203,JUAN CARDOSO,39,F263306,CIAT 20891,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"92,93,94",OT-032,
150,46203,JACOBO ARANGO/ ALEJANDRO MONTOYA,39,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,,"92,93,94",OT-001(2025)  ,
151,46252,BREEDING,41,F262959,CIAT-BR15_3013,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
152,46252,BREEDING,41,F262960,CIAT-BR15_3017,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
153,46252,BREEDING,41,F262961,CIAT-BR15_3186,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
154,46252,BREEDING,41,F262962,CIAT-BR15_3234,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
155,46252,BREEDING,41,F262963,CIAT-BR15_3280,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
156,46252,BREEDING,41,F262964,CIAT-BR15_3294,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,Bach 98 reemplazado por Bach 104 (set 43)
157,46252,BREEDING,41,F262965,CIAT-BR15_3571,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
158,46252,BREEDING,41,F262966,CIAT-BR15_3597,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
159,46252,BREEDING,41,F262967,CIAT-BR15_361,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,"Bach 98, 99 reemplazado por Bach 104, 105 (set 43)"
160,46252,BREEDING,41,F262968,CIAT-BR15_3726,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,"Bach 98, 99 reemplazado por Bach 104, 105 (set 43)"
