10_sample_serial_no,10_date,10_requisitioner_1,10_requisitioner_2,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_batches_ciat,10_id_lab,10_remarks_1,10_remarks_2
Sample serial No,"Date (M,D.Y)",Requisitioner,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,Observaciones,
93,46119,Genebank,,34,F260429,CIAT795,Rhynchosia,reticulata,Rhynchosia reticulata,Fabaceae,Fabales,Climber,"77. 78, 79",OT-006(2026),,
94,46119,Genebank,,34,F260430,CIAT936,Teramnus,uncinatus,Teramnus uncinatus,Fabaceae,Fabales,Climber,"77. 78, 79",OT-006(2026),,
95,46119,Genebank,,34,F260431,CIAT958,Canavalia,rosea,Canavalia rosea,Fabaceae,Fabales,Climber,"77. 78, 79",OT-006(2026),,
96,46119,Genebank,,34,F260432,CIAT966,Teramnus,labialis,Teramnus labialis,Fabaceae,Fabales,Climber,"77. 78, 79",OT-006(2026),,
97,46119,Genebank,,34,F260433,CIAT4042,Centrosema,grazielae,Centrosema grazielae,Fabaceae,Fabales,Climber,"77. 78, 79",OT-006(2026),,
98,46119,Genebank,,34,F260434,CIAT4862,Macrotyloma,daltonii,Macrotyloma daltonii,Fabaceae,Fabales,Climber,"77. 78, 79",OT-006(2026),,
99,46119,Genebank,,34,F260435,CIAT4986,Teramnus,labialis,Teramnus labialis,Fabaceae,Fabales,Climber,"77. 78, 79",OT-006(2026),,
100,46119,Genebank,,34,F260436,CIAT5098,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,"77. 78, 79",OT-006(2026),Eliminada,Reproceso Batch 35
101,46119,Genebank,,34,F260437,CIAT5121,Centrosema,grazielae,Centrosema grazielae,Fabaceae,Fabales,Climber,"77. 78, 79",OT-006(2026),,
102,46119,Genebank,,34,F260438,CIAT5166,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,"77. 78, 79",OT-006(2026),,
103,46119,Genebank,,34,F260439,CIAT5196,Centrosema,pascuorum,Centrosema pascuorum,Fabaceae,Fabales,Climber,"77. 78, 79",OT-006(2026),,
104,46119,Genebank,,34,F260440,CIAT5217,Centrosema,pascuorum,Centrosema pascuorum,Fabaceae,Fabales,Climber,"77. 78, 79",OT-006(2026),Eliminada,Reproceso Bach 35
