40_sample_serial_no,40_date,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
93,46119,Genebank,34,F260081,CIAT16980,Andropogon,gayanus,Andropogon gayanus,Poaceae,Poales,Grasses,94.05,94.14528797,9.294145452,9.309612019,90.70585455,90.69038798,15.83292013,15.83292013,36.78851722,37.14424608,68.67450642,68.89387665
94,46119,Genebank,34,F260081,CIAT16980,Andropogon,gayanus,Andropogon gayanus,Poaceae,Poales,Grasses,94.24057594,,9.325078585,,90.67492141,,15.83292013,,37.49997495,,69.11324688,
95,46119,Genebank,34,F260082,CIAT16985,Andropogon,gayanus,Andropogon gayanus,Poaceae,Poales,Grasses,94.68265867,94.54800533,9.831357406,9.820295837,90.16864259,90.17970416,14.09063558,14.13747413,38.37911528,39.09671659,67.92437036,68.18926816
96,46119,Genebank,34,F260082,CIAT16985,Andropogon,gayanus,Andropogon gayanus,Poaceae,Poales,Grasses,94.41335199,,9.809234268,,90.19076573,,14.18431268,,39.81431789,,68.45416595,
97,46119,Genebank,34,F260083,CIAT16997,Chloris,gayana,Chloris gayana,Poaceae,Poales,Grasses,92.05317873,92.09276951,12.96000324,12.93894032,87.03999676,87.06105968,15.73235273,15.73235273,38.45339929,38.49759579,69.96772742,70.32114647
98,46119,Genebank,34,F260083,CIAT16997,Chloris,gayana,Chloris gayana,Poaceae,Poales,Grasses,92.13236029,,12.91787741,,87.08212259,,15.73235273,,38.54179228,,70.67456551,
99,46119,Genebank,34,F260084,CIAT26013,Eragrostis,curvula,Eragrostis curvula,Poaceae,Poales,Grasses,94.4016795,94.47193131,7.047598696,7.031375074,92.9524013,92.96862493,13.64709318,13.64709318,37.2526493,37.20192637,74.83704299,75.10629798
100,46119,Genebank,34,F260084,CIAT26013,Eragrostis,curvula,Eragrostis curvula,Poaceae,Poales,Grasses,94.54218313,,7.015151451,,92.98484855,,13.64709318,,37.15120344,,75.37555296,
101,46119,Genebank,34,F260085,CIAT26028,Hyparrhenia,filipendula,Hyparrhenia filipendula,Poaceae,Poales,Grasses,94.83155053,94.92202214,11.15317996,11.07309246,88.84682004,88.92690754,12.20566076,12.20566076,37.66640601,37.95323223,67.39642565,67.71977991
102,46119,Genebank,34,F260085,CIAT26028,Hyparrhenia,filipendula,Hyparrhenia filipendula,Poaceae,Poales,Grasses,95.01249375,,10.99300497,,89.00699503,,12.20566076,,38.24005845,,68.04313416,
103,46119,Genebank,34,F260086,CIAT26033,Brachiaria,nigropedata,Brachiaria nigropedata,Poaceae,Poales,Grasses,91.72248326,91.77246826,10.75163399,10.7788671,89.24836601,89.2211329,15.46887,15.46887,36.67025222,37.32673249,69.33255672,70.08345797
104,46119,Genebank,34,F260086,CIAT26033,Brachiaria,nigropedata,Brachiaria nigropedata,Poaceae,Poales,Grasses,91.82245326,,10.80610022,,89.19389978,,15.46887,,37.98321275,,70.83435922,
105,46119,Genebank,34,F260087,CIAT26063,Paspalum,scrobiculatum,Paspalum scrobiculatum,Poaceae,Poales,Grasses,,,,,,,,,,,,
106,46119,Genebank,34,F260087,CIAT26063,Paspalum,scrobiculatum,Paspalum scrobiculatum,Poaceae,Poales,Grasses,,,,,,,,,,,,
