40qraw_no,40qraw_set_ciat,40qraw_sample_id,40qraw_gene_bank_breeding_program_id,40qraw_genus,40qraw_species,40qraw_tax_name,40qraw_family,40qraw_order,40qraw_functional_group,40qraw_replication_dm_percentage,40qraw_dm_percentage,40qraw_av_dm_105,40qraw_ash_dm,40qraw_av_ash_percentage,40qraw_om_percentage,40qraw_om_percentage,40qraw_pc_percentage_dm,40qraw_av_pc_percentage,40qraw_adf_percentage_dm,40qraw_av_adf_percentage_dm,40qraw_ndf_percentage_dm,40qraw_av_ndf_percentage_dm
No,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Replication,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
90,15,F24-3652,ABC-21687,Desmanthus,virgatus,Desmanthus virgatus,Fabaceae,Fabales,Shrub,B,91.91,,8.53,,91.47,,28.43,,33.91,,45.58,
91,15,F24-3653,ABC-22048,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,A,89.37,89.405,10.12,10.145,89.88,89.855,21.74,21.74,16.59,16.045,42.8,41.365
92,15,F24-3653,ABC-22048,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,B,89.44,,10.17,,89.83,,21.74,,15.5,,39.93,
93,15,F24-3654,ABC-22156,Arachis,pintoi,Arachis pintoi,Fabaceae,Fabales,Herbaceous,A,89.6,89.695,10.46,10.45,89.54,89.55,20.83,20.83,24.85,24.715,40.4,41.79
94,15,F24-3654,ABC-22156,Arachis,pintoi,Arachis pintoi,Fabaceae,Fabales,Herbaceous,B,89.79,,10.44,,89.56,,20.83,,24.58,,43.18,
95,15,F24-3655,ABC-22507,Desmanthus,subulatus,Desmanthus subulatus,Fabaceae,Fabales,Shrub,A,89.92,89.94,9.54,9.48,90.46,90.52,29.9,29.9,31.9,32.215,42.22,43.71
96,15,F24-3655,ABC-22507,Desmanthus,subulatus,Desmanthus subulatus,Fabaceae,Fabales,Shrub,B,89.96,,9.42,,90.58,,29.9,,32.53,,45.2,
97,15,F24-3656,ABC-22510,Desmanthus,bicornutus,Desmanthus bicornutus,Fabaceae,Fabales,Shrub,A,87.91,87.95,10.55,10.545,89.45,89.455,25.93,25.93,36.21,36.07,42.87,42.87
98,15,F24-3656,ABC-22510,Desmanthus,bicornutus,Desmanthus bicornutus,Fabaceae,Fabales,Shrub,B,87.99,,10.54,,89.46,,25.93,,35.93,,42.87,
99,15,F24-3657,ABC-22598,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,A,88.99,88.935,12.63,12.58,87.37,87.42,31.13,31.13,30.23,28.04,47.29,45.415
100,15,F24-3657,ABC-22598,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,B,88.88,,12.53,,87.47,,31.13,,25.85,,43.54,
101,15,F24-3658,ABC-22784,Desmanthus,bicornutus,Desmanthus bicornutus,Fabaceae,Fabales,Shrub,A,92.57,92.625,10.47,10.43,89.53,89.57,30.03,30.03,30.53,30.63,42.19,41.66
102,15,F24-3658,ABC-22784,Desmanthus,bicornutus,Desmanthus bicornutus,Fabaceae,Fabales,Shrub,B,92.68,,10.39,,89.61,,30.03,,30.73,,41.13,
103,15,F24-3659,ABC-25113,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,A,91.78,91.8,11.93,11.89,88.07,88.11,22.96,22.96,29.19,29.7,53.64,53.705
104,15,F24-3659,ABC-25113,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,B,91.82,,11.85,,88.15,,22.96,,30.21,,53.77,
105,15,F24-3660,ABC-33114,Dendrolobium,sp.,Dendrolobium sp.,Fabaceae,Fabales,Shrub,A,91.49,91.53,13.57,13.535,86.43,86.465,18.81,18.81,40.39,40.495,54.31,55.005
106,15,F24-3660,ABC-33114,Dendrolobium,sp.,Dendrolobium sp.,Fabaceae,Fabales,Shrub,B,91.57,,13.5,,86.5,,18.81,,40.6,,55.7,
107,15,F24-3662,ABC-43477,Desmodium,cinereum,Desmodium cinereum,Fabaceae,Fabales,Shrub,A,91.14,91.145,13.87,13.83,86.13,86.17,24.66,24.66,17.23,17.465,38.34,38.35
108,15,F24-3662,ABC-43477,Desmodium,cinereum,Desmodium cinereum,Fabaceae,Fabales,Shrub,B,91.15,,13.79,,86.21,,24.66,,17.7,,38.36,
109,15,F24-3539,ABC-172-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,91.15,91.175,10.1,10.025,89.9,89.975,14.34,14.34,35.78,35,85.76,86.21
