21_no,21_date,21_set_ciat,21_sample_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional group,21_replication,21_dm_percentage,21_av_dm_105,21_ash_dm,21_av_ash_percentage,21_om_percentage,21_om_percentage,21_remarks
No,Date,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Replication,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %",Remarks
114,,15,F24-3541,ABC-1475-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,90.96,,8.81,,91.19,,
115,,15,F24-3542,ABC-1650-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,91.91,91.915,12.82,12.67,87.18,87.33,
116,,15,F24-3542,ABC-1650-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,91.92,,12.52,,87.48,,
117,,15,F24-3543,ABC-1706-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,92.69,92.695,14.94,14.73,85.06,85.27,
118,,15,F24-3543,ABC-1706-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,92.7,,14.52,,85.48,,
119,,15,F24-3544,ABC-1727-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,92.14,92.115,14.04,13.825,85.96,86.175,
120,,15,F24-3544,ABC-1727-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,92.09,,13.61,,86.39,,
121,,15,F24-3545,ABC-1803-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,91.87,91.86,8.71,8.67,91.29,91.33,
122,,15,F24-3545,ABC-1803-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,91.85,,8.63,,91.37,,
123,,15,F24-3546,ABC-1964-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,90.29,90.29,9.45,9.425,90.55,90.575,
124,,15,F24-3546,ABC-1964-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,90.29,,9.4,,90.6,,
125,,15,F24-3547,ABC-2613-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,91.88,91.94,13.22,13.265,86.78,86.735,
126,,15,F24-3547,ABC-2613-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,92,,13.31,,86.69,,
127,,15,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,A,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494,
128,,15,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,B,91.32173565,,10.12699803,,89.87300197,,
129,,15,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,A,89.73205359,89.69309597,6.183844011,6.035393965,93.81615599,93.96460604,
130,,15,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,B,89.65413834,,5.886943918,,94.11305608,,
131,,15,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,A,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,
132,,15,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,B,93.82123575,,11.49829497,,88.50170503,,
133,,16,F25-1701,CIAT-BR12_1362,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.4,92.46,13.93,14.015,86.07,85.985,
134,,16,F25-1701,CIAT-BR12_1362,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.52,,14.1,,85.9,,
135,,16,F25-1702,CIAT-BR12_2462,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,95.6,95.715,15.7,15.58,84.3,84.42,
136,,16,F25-1702,CIAT-BR12_2462,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,95.83,,15.46,,84.54,,
137,,16,F25-1703,CIAT-BR12_3868,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,94.06,94.15,18.86,19.075,81.14,80.925,
138,,16,F25-1703,CIAT-BR12_3868,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,94.24,,19.29,,80.71,,
139,,16,F25-1704,CIAT-BR15_2558,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.18,93.24,14.01,14.12,85.99,85.88,
140,,16,F25-1704,CIAT-BR15_2558,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.3,,14.23,,85.77,,
141,,16,F25-1705,CIAT-BR15_2811,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.58,93.62,16.34,16.265,83.66,83.735,
142,,16,F25-1705,CIAT-BR15_2811,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.66,,16.19,,83.81,,
143,,16,F25-1706,CIAT-BR15_2891,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.76,93.755,14.74,14.84,85.26,85.16,
144,,16,F25-1706,CIAT-BR15_2891,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.75,,14.94,,85.06,,
145,,16,F25-1707,CIAT-BR19_1343,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,94.02,94.1,14.52,14.51,85.48,85.49,
146,,16,F25-1707,CIAT-BR19_1343,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,94.18,,14.5,,85.5,,
147,,16,F25-1708,CIAT-CIAT_26110,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.84,93.89,11.98,11.93,88.02,88.07,
148,,16,F25-1708,CIAT-CIAT_26110,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.94,,11.88,,88.12,,
149,,16,F25-1709,CIAT-CIAT_26646,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.55,93.56,13.12,13.175,86.88,86.825,
150,,16,F25-1709,CIAT-CIAT_26646,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.57,,13.23,,86.77,,
151,,16,F25-1710,CIAT-CIAT_6297,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,95.02,95.1,12.99,13.01,87.01,86.99,
152,,16,F25-1710,CIAT-CIAT_6297,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,95.18,,13.03,,86.97,,
153,,16,F25-1711,CIAT-BR12_4400,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.82,93.93,15.33,15.305,84.67,84.695,
154,,16,F25-1711,CIAT-BR12_4400,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,94.04,,15.28,,84.72,,
