21_no,21_date,21_requisitioner,21_set_ciat,21_ciat_lab_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional_group,21_ot,21_replication,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_av_ash_percentage,21_om_percentage,21_av_om_percentage
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,,Replication,"DM, %",Av DM 105,"Ash, %","Av Ash, %","OM, %","Av OM, %"
92,,Genetic bank,24,F25-1681,CIAT-18127,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,B,94.33113377,,9.266877576,,90.73312242,
93,,Genetic bank,24,F25-1682,CIAT-18668,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,OT-008,A,94.07237105,94.10677141,12.8632167,12.82200635,87.1367833,87.17799365
94,,Genetic bank,24,F25-1682,CIAT-18668,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,OT-008,B,94.14117177,,12.78079601,,87.21920399,
95,,Genetic bank,24,F25-1683,CIAT-19228,Eriosema,psoraleoides,Eriosema psoraleoides,Fabaceae,Fabales,Herbaceous,OT-008,A,93.71125775,93.68689637,9.444469501,9.422186265,90.5555305,90.57781374
96,,Genetic bank,24,F25-1683,CIAT-19228,Eriosema,psoraleoides,Eriosema psoraleoides,Fabaceae,Fabales,Herbaceous,OT-008,B,93.66253499,,9.399903029,,90.60009697,
97,,Genetic bank,24,F25-1684,CIAT-19537,Crotalaria,verrucosa,Crotalaria verrucosa,Fabaceae,Fabales,Herbaceous,OT-008,A,93.42131574,93.50065787,9.003483535,9.03646922,90.99651646,90.96353078
98,,Genetic bank,24,F25-1684,CIAT-19537,Crotalaria,verrucosa,Crotalaria verrucosa,Fabaceae,Fabales,Herbaceous,OT-008,B,93.58,,9.069454904,,90.9305451,
99,,Genetic bank,24,F25-1685,CIAT-20208,Aeschynomene,sensitiva,Aeschynomene sensitiva,Fabaceae,Fabales,Herbaceous,OT-008,A,95.33140058,95.4561422,7.812763536,7.865523699,92.18723646,92.1344763
100,,Genetic bank,24,F25-1685,CIAT-20208,Aeschynomene,sensitiva,Aeschynomene sensitiva,Fabaceae,Fabales,Herbaceous,OT-008,B,95.58088382,,7.918283861,,92.08171614,
101,,Genetic bank,24,F25-1686,CIAT-20345,Pachyrhizus,erosus,Pachyrhizus erosus,Fabaceae,Fabales,Climber,OT-008,A,94.20231907,93.71751299,10.6980961,10.62876647,89.3019039,89.37123353
102,,Genetic bank,24,F25-1686,CIAT-20345,Pachyrhizus,erosus,Pachyrhizus erosus,Fabaceae,Fabales,Climber,OT-008,B,93.23270692,,10.55943683,,89.44056317,
103,,Genetic bank,24,F25-1687,CIAT-20927,Mimosa,albida,Mimosa albida,Fabaceae,Fabales,Herbaceous,OT-008,A,93.82,93.67532347,8.753639375,8.619775455,91.24636062,91.38022454
104,,Genetic bank,24,F25-1687,CIAT-20927,Mimosa,albida,Mimosa albida,Fabaceae,Fabales,Herbaceous,OT-008,B,93.53064694,,8.485911535,,91.51408847,
105,,Genetic bank,24,F25-1688,CIAT-21849,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,A,94.86,94.9010116,5.900885466,5.920771925,94.09911453,94.07922808
106,,Genetic bank,24,F25-1688,CIAT-21849,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,B,94.94202319,,5.940658384,,94.05934162,
107,,Genetic bank,24,F25-1689,CIAT-22072,Bauhinia,sp.,Bauhinia sp.,Fabaceae,Fabales,Shrub,OT-008,A,93.57257097,93.61192036,7.827068545,7.779789906,92.17293146,92.22021009
108,,Genetic bank,24,F25-1689,CIAT-22072,Bauhinia,sp.,Bauhinia sp.,Fabaceae,Fabales,Shrub,OT-008,B,93.65126975,,7.732511268,,92.26748873,
109,,Genetic bank,24,F25-1690,CIAT-22409,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,OT-008,A,92.86428143,92.92854215,11.36751052,11.38478179,88.63248948,88.61521821
110,,Genetic bank,24,F25-1690,CIAT-22409,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,OT-008,B,92.99280288,,11.40205307,,88.59794693,
111,,Genetic bank,24,F25-1691,CIAT-22692,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,OT-008,A,92.17156569,92.2669285,7.314267831,7.389746311,92.68573217,92.61025369
112,,Genetic bank,24,F25-1691,CIAT-22692,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,OT-008,B,92.36229131,,7.465224791,,92.53477521,
113,,Genetic bank,24,F25-1692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,OT-008,A,93.76374175,93.79248875,5.199855362,5.216884679,94.80014464,94.78311532
114,,Genetic bank,24,F25-1692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,OT-008,B,93.82123575,,5.233913996,,94.766086,
115,,Genetic bank,24,F25-1693,CIAT-23746,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,A,93.77124575,93.8365376,6.882935393,6.88259135,93.11706461,93.11740865
116,,Genetic bank,24,F25-1693,CIAT-23746,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,B,93.90182945,,6.882247306,,93.11775269,
117,,Genetic bank,24,F25-1694,CIAT-23985,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-008,A,95.10048995,95.16548345,12.03047019,12.04097715,87.96952981,87.95902285
