23_no,23_date,23_requisitioner,23_set_ciat,23_ciat_lab_id,23_gene_bank_breeding_program_id,23_genus,23_species,23_tax_name,23_family,23_order,23_functional_group,23_batches_ciat,23_id_lab,23_replication,23_adf_percentage_dm,23_av_adf_percentage_dm,
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,Replication,"ADF, % (DM)"," Av ADF, % (DM)",
114,46048,Genbank,28,F252189,CIAT-BH22_2365,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,32.11973009,,
115,46048,Genbank,28,F252190,CIAT-BH22_3572,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,A,33.06491166,32.76733643,
116,46048,Genbank,28,F252190,CIAT-BH22_3572,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,32.46976119,,
117,46048,Genbank,28,F252191,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,A,34.34940314,34.30560713,
118,46048,Genbank,28,F252191,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,34.26181111,,
119,46048,Genbank,28,F252192,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,A,31.76728685,31.6848152,
120,46048,Genbank,28,F252192,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,31.60234356,,
121,46048,Genbank,28,F252193,CIAT-BH22_0521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,A,31.57838055,31.72034801,
122,46048,Genbank,28,F252193,CIAT-BH22_0521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,31.86231547,,
123,46048,Genbank,28,F252574,CIAT326,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,39.48848273,38.9362121,
124,46048,Genbank,28,F252574,CIAT326,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,38.38394148,,
125,46048,Jacobo Arango/Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"60,61, 62",OT-002,A,,37.8,
126,46048,Jacobo Arango/Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"60,61, 62",OT-002,B,,,
127,46048,Genbank,28,F252575,CIAT415,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,25.37871278,25.27457753,
128,46048,Genbank,28,F252575,CIAT415,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,25.17044227,,
129,46048,Genbank,28,F252576,CIAT416,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,24.61392416,23.98045976,
130,46048,Genbank,28,F252576,CIAT416,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,23.34699537,,
131,46048,Genbank,28,F252577,CIAT517,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,26.72725226,26.52504004,
132,46048,Genbank,28,F252577,CIAT517,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,26.32282782,,
133,46048,Genbank,28,F252578,CIAT563,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,29.99083879,30.28518761,
134,46048,Genbank,28,F252578,CIAT563,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,30.57953644,,
135,46048,Genbank,28,F252579,CIAT789,Zornia,latifolia,Zornia latifolia,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,24.83226537,24.85387739,
136,46048,Genbank,28,F252579,CIAT789,Zornia,latifolia,Zornia latifolia,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,24.87548941,,
137,46048,Genbank,28,F252580,CIAT2085,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,37.03959724,37.91537767,
138,46048,Genbank,28,F252580,CIAT2085,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,38.79115809,,
139,46048,Genbank,28,F252581,CIAT2690,Stylosanthes,angustifolia,Stylosanthes angustifolia,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,38.19609992,38.39249836,
140,46048,Genbank,28,F252581,CIAT2690,Stylosanthes,angustifolia,Stylosanthes angustifolia,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,38.5888968,,
