24_no,24_date,24_requisitioner,24_set_ciat,24_ciat_lab_id,24_gene_bank_breeding_program_id,24_genus,24_species,24_tax_name,24_family,24_order,24_functional_group,24_batches_ciat,24_id_lab,24_replication,24_ndf_percentage_dm,24_av_adf_percentage_dm,
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,Replication,"NDF, % (DM)"," Av ADF, % (DM)",
103,46048,Genbank,28,F252184,CIAT-BH22_0303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,A,67.4948194,68.07606427,
104,46048,Genbank,28,F252184,CIAT-BH22_0303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,68.65730913,,
105,46048,Genbank,28,F252185,CIAT-BH22_1594,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,A,68.45832672,68.31550169,
106,46048,Genbank,28,F252185,CIAT-BH22_1594,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,68.17267667,,
107,46048,Genbank,28,F252186,CIAT-BH22_0468,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,A,68.80818738,67.84324289,
108,46048,Genbank,28,F252186,CIAT-BH22_0468,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,66.8782984,,
109,46048,Genbank,28,F252187,CIAT-BH22_3830,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,A,67.68596463,67.42838282,
110,46048,Genbank,28,F252187,CIAT-BH22_3830,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,67.17080101,,
111,46048,Genbank,28,F252188,CIAT-BH22_1710,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,A,68.88783688,69.39148718,
112,46048,Genbank,28,F252188,CIAT-BH22_1710,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,69.89513748,,
113,46048,Genbank,28,F252189,CIAT-BH22_2365,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,A,63.48334918,64.13836256,
114,46048,Genbank,28,F252189,CIAT-BH22_2365,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,64.79337593,,
115,46048,Genbank,28,F252190,CIAT-BH22_3572,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,A,68.80747171,68.19252088,
116,46048,Genbank,28,F252190,CIAT-BH22_3572,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,67.57757006,,
117,46048,Genbank,28,F252191,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,A,69.42682396,69.455898,
118,46048,Genbank,28,F252191,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,69.48497204,,
119,46048,Genbank,28,F252192,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,A,64.61466811,64.57727447,
120,46048,Genbank,28,F252192,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,64.53988082,,
121,46048,Genbank,28,F252193,CIAT-BH22_0521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,A,67.17952559,66.87631034,
122,46048,Genbank,28,F252193,CIAT-BH22_0521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,B,66.5730951,,
123,46048,Genbank,28,F252574,CIAT326,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,56.2323033,55.65524553,
124,46048,Genbank,28,F252574,CIAT326,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,55.07818776,,
125,46048,Jacobo Arango/Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"60,61, 62",OT-002,A,76.1,76.1,
126,46048,Jacobo Arango/Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"60,61, 62",OT-002,B,76.1,,
127,46048,Genbank,28,F252575,CIAT415,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,41.71108525,42.19823589,
128,46048,Genbank,28,F252575,CIAT415,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,42.68538652,,
129,46048,Genbank,28,F252576,CIAT416,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,46.38298015,45.45969219,
130,46048,Genbank,28,F252576,CIAT416,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,44.53640422,,
131,46048,Genbank,28,F252577,CIAT517,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,45.87051567,45.60801435,
132,46048,Genbank,28,F252577,CIAT517,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,45.34551304,,
133,46048,Genbank,28,F252578,CIAT563,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,51.01815447,51.4379895,
134,46048,Genbank,28,F252578,CIAT563,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,51.85782454,,
135,46048,Genbank,28,F252579,CIAT789,Zornia,latifolia,Zornia latifolia,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,49.4407795,51.081849,
136,46048,Genbank,28,F252579,CIAT789,Zornia,latifolia,Zornia latifolia,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,52.7229185,,
137,46048,Genbank,28,F252580,CIAT2085,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,56.49795979,57.18138145,
138,46048,Genbank,28,F252580,CIAT2085,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,57.8648031,,
139,46048,Genbank,28,F252581,CIAT2690,Stylosanthes,angustifolia,Stylosanthes angustifolia,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,60.48539202,60.09027386,
