requisitioner,gen_bank_id,tax_name,functional_group,%_DMD_truly_digestibility,CH4_ml_in_gas_8h,CH4_ml_in_gas_24h,CH4_ml/g_DMD_24h
Genetic bank,CIAT-1992,Stylosanthes guianensis,Herbaceous,53.75911015,11.1,12.69875299,40.83140185
Genetic bank,CIAT-1992,Stylosanthes guianensis,Herbaceous,45.73166147,11.1,12.74556612,48.50581777
Genetic bank,CIAT-3001,Codariocalyx gyroides,Shrub,39.50452494,11.8,13.51815862,42.70280115
Genetic bank,CIAT-3001,Codariocalyx gyroides,Shrub,43.11178064,11.7,13.55435863,39.22670984
Genetic bank,CIAT-3001,Codariocalyx gyroides,Shrub,21.9013147,11.8,13.68146432,76.68036059
Genetic bank,CIAT-3304,Desmodium cajanifolium,Shrub,62.70926562,12.9,14.20898758,45.1103725
Genetic bank,CIAT-3304,Desmodium cajanifolium,Shrub,47.3189371,12.7,14.0315726,59.36016285
Genetic bank,CIAT-3304,Desmodium cajanifolium,Shrub,65.67254347,13.1,14.28267927,43.73900582
Genetic bank,CIAT-5713,Centrosema macrocarpum,Climber,50.14800859,13.1,14.62852212,50.83404004
Genetic bank,CIAT-5713,Centrosema macrocarpum,Climber,33.23568093,13.2,14.64754377,78.67886293
Genetic bank,CIAT-5713,Centrosema macrocarpum,Climber,49.51429683,13.1,14.67417493,54.46244117
Genetic bank,CIAT-7381,Galactia glaucescens,Herbaceous,,,,
Genetic bank,CIAT-7381,Galactia glaucescens,Herbaceous,35.04539927,11.4,13.58577428,42.23821674
Genetic bank,CIAT-7381,Galactia glaucescens,Herbaceous,,,,
Genetic bank,CIAT-7799,Dioclea guianensis,Climber,29.45431392,11.6,12.97659433,40.96624217
Genetic bank,CIAT-7799,Dioclea guianensis,Climber,28.79876348,11.6,12.83618564,42.88323558
Genetic bank,CIAT-7799,Dioclea guianensis,Climber,,,,
Standard,BLANK 8H,BLANK 8H,BLANK 8H,,,,
Standard,BLANK 8H,BLANK 8H,BLANK 8H,,,,
Genetic bank,CIAT-7803,Dioclea holtiana,Climber,30.85832864,11.1,12.32120219,41.06922175
Genetic bank,CIAT-7803,Dioclea holtiana,Climber,8.607039551,10.7,12.08816437,142.9403211
Genetic bank,CIAT-7803,Dioclea holtiana,Climber,36.14784128,11.1,12.52636694,33.44515125
Genetic bank,CIAT-8182,Eriosema diffusum,Herbaceous,,,,
Genetic bank,CIAT-8182,Eriosema diffusum,Herbaceous,30.40514042,12.8,14.22025725,49.57146882
Genetic bank,CIAT-8182,Eriosema diffusum,Herbaceous,,,,
Genetic bank,CIAT-8434,Dioclea sericea,Climber,31.17605592,12.5,14.39571705,62.6683102
