32_no,32_date,32_gene_bank_id,32_name,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_ndf_digestibility_in_24h,32_remarks_2,,
No,Date,Gene Bank ID,Name,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks,,
127,45637,Blank,Blank,Blank,1,3,3,2,25,,,,,,,,,,,,
128,45637,ABC-905-1,Canavalia brasiliensis,F24 3423,1,3,3,1,26,0.5808,0.7335,,0.1527,307.0715674,66.78785492,168.0985193,15.39851935,9.160413434,,,
129,45637,ABC-905-1,Canavalia brasiliensis,F24 3423,1,3,3,2,27,0.5389,0.6717,,0.1328,326.695925,71.09876437,167.9977409,35.19774086,20.95131796,,,
130,45637,ABC-905-1,Canavalia brasiliensis,F24 3423,1,3,3,3,28,0.5621,0.7097,,0.1476,312.355329,67.90992719,168.165705,20.56570501,12.22942871,,,
131,45637,ABC-913-1,Cajanus cajan,F24 3424,1,3,3,1,29,0.5922,0.8155,,0.2233,250.8382112,52.90402783,288.5683665,65.26836655,22.61799078,,,
132,45637,ABC-913-1,Cajanus cajan,F24 3424,1,3,3,2,30,0.5663,0.8025,,0.2362,238.0329819,50.19325754,288.6260456,52.42604561,18.1640037,,,
133,45637,ABC-913-1,Cajanus cajan,F24 3424,1,3,3,3,31,0.5634,0.7903,,0.2269,247.3329819,52.15431895,288.6260456,61.72604561,21.38616613,,,
134,45637,ABC-955-1,Clitoria ternatea,F24 3425,1,3,3,1,32,0.5282,0.6881,,0.1599,299.6361268,65.2040415,283.410232,123.510232,43.58001867,,,
135,45637,ABC-955-1,Clitoria ternatea,F24 3425,1,3,3,2,33,0.5519,0.7044,,0.1525,307.0361268,66.81436103,283.410232,130.910232,46.19107471,,,
136,45637,ABC-955-1,Clitoria ternatea,F24 3425,1,3,3,3,34,0.5691,0.7277,,0.1586,300.5688652,65.45933054,283.1837303,124.5837303,43.99395763,,,
137,45637,,Albizzia saman,F24 1047,1,3,3,1,35,0.5294,0.5006,Error,-0.0288,579.5016315,105.2296922,317.9582548,346.7582548,109.0577928,ELIMINADOS,,
138,45637,,Albizzia saman,F24 1047,1,3,3,2,36,0.5309,0.5002,Error,-0.0307,814.5488767,103.9165713,452.5703332,483.2703332,106.783476,ELIMINADOS,,
139,45637,,Albizzia saman,F24 1047,1,3,3,3,37,0.5401,0.422,Error,-0.1181,857.4033186,115.9744988,426.8510923,544.9510923,127.6677282,ELIMINADOS,,
140,45637,,Gliricidia sepium,F24 1070,1,3,3,1,38,0.5528,0.5004,Syringe,-0.0524,630.6458698,109.0618892,334.8100905,387.2100905,115.6506633,ELIMINADOS,,
141,45637,,Gliricidia sepium,F24 1070,1,3,3,2,39,0.5603,0.5,Syringe,-0.0603,783.868187,108.3336997,418.9531527,479.2531527,114.3930174,ELIMINADOS,,
142,45637,,Gliricidia sepium,F24 1070,1,3,3,3,40,0.5722,0.5001,Syringe,-0.0721,72.1,#DIV/0!,,,,ELIMINADOS,,
143,45637,,Leucaena diversifolia,F24 1075,1,3,3,1,41,0.5675,0.5006,Syringe,-0.0669,869.9351424,108.3308932,466.7486499,533.6486499,114.3331963,ELIMINADOS,,
144,45637,,Leucaena diversifolia,F24 1075,1,3,3,2,42,0.5771,0.5,Syringe,-0.0771,883.7687856,109.5578261,468.8606348,545.9606348,116.4441188,ELIMINADOS,,
145,45637,,Leucaena diversifolia,F24 1075,1,3,3,3,43,0.5406,0.5005,Syringe,-0.0401,817.3171514,105.1594332,451.7424418,491.8424418,108.8767396,ELIMINADOS,,
146,45637,,Brachiaria decumbens,F24 1084,1,3,3,1,44,0.5372,0.5002,Syringe,-0.037,749.1632896,105.1954377,416.1986816,453.1986816,108.8899849,ELIMINADOS,,
147,45637,,Brachiaria decumbens,F24 1084,1,3,3,2,45,0.5612,0.5001,Syringe,-0.0611,807.0986708,108.1903631,435.9725751,497.0725751,114.014643,ELIMINADOS,,
148,45637,,Brachiaria decumbens,F24 1084,1,3,3,3,46,0.5674,0.5003,Syringe,-0.0671,808.1425023,109.0548113,433.0761175,500.1761175,115.4938121,ELIMINADOS,,
149,45637,,Setaria sphacelata,F24 1095,1,3,3,1,47,0.5282,0.5,,-0.0282,757.4238608,103.8671252,424.0100008,452.2100008,106.6507865,ELIMINADOS,,
150,45637,,Setaria sphacelata,F24 1095,1,3,3,2,48,0.5273,0.5005,,-0.0268,806.4961128,103.4372366,453.3572846,480.1572846,105.9114524,ELIMINADOS,,
151,45637,,Setaria sphacelata,F24 1095,1,3,3,3,49,0.5657,0.5004,,-0.0653,806.4501963,108.8106298,430.9446142,496.2446142,115.1527593,ELIMINADOS,,
152,45637,Blank,Blank,Blank,1,3,3,1,50,,,,,,#DIV/0!,,,,ELIMINADOS,,
