23_set_ciat,23_sample_id,23_gene_bank_breeding_program_id,23_genus,23_species,23_tax_name,23_replication,23_bag_weight,23_sample_weight_with_bag_g,23_sample_weight_105_g,23_adf_percentage,23_adf_percentage_dm,23_av_adf_percentage_dm
Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Replication,Bag weight (g),Sample weight with bag (g),Sample weight 105 (g),"ADF, %","ADF, % (DM)"," Av ADF, % (DM)"
5,F24 3602,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,A,,,,,28.67656881,28.61056023
5,F24 3602,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,B,,,,,28.54455165,
5,F24 3603,ABC-BH16_0550,Urochloa,humidicola,Brachiaria humidicola,A,,,,,29.83002246,30.14508217
5,F24 3603,ABC-BH16_0550,Urochloa,humidicola,Brachiaria humidicola,B,,,,,30.46014187,
5,F24 3604,ABC-BH16_0562,Urochloa,humidicola,Brachiaria humidicola,A,,,,,30.66293364,30.46611447
5,F24 3604,ABC-BH16_0562,Urochloa,humidicola,Brachiaria humidicola,B,,,,,30.26929531,
5,F24 3605,ABC-BH16_3249,Urochloa,humidicola,Brachiaria humidicola,A,,,,,28.50012439,28.8604292
5,F24 3605,ABC-BH16_3249,Urochloa,humidicola,Brachiaria humidicola,B,,,,,29.22073401,
5,F24 3606,ABC-BH16B_0733,Urochloa,humidicola,Brachiaria humidicola,A,,,,,29.23820931,29.35547793
5,F24 3606,ABC-BH16B_0733,Urochloa,humidicola,Brachiaria humidicola,B,,,,,29.47274655,
5,F24 3607,ABC-BH16B_0741,Urochloa,humidicola,Brachiaria humidicola,A,,,,,28.1395684,28.13819685
5,F24 3607,ABC-BH16B_0741,Urochloa,humidicola,Brachiaria humidicola,B,,,,,28.1368253,
5,F24 3608,ABC-BH16B_1194,Urochloa,humidicola,Brachiaria humidicola,A,,,,,29.62300868,29.53819758
5,F24 3608,ABC-BH16B_1194,Urochloa,humidicola,Brachiaria humidicola,B,,,,,29.45338648,
5,F24 3609,ABC-BH16B_1618,Urochloa,humidicola,Brachiaria humidicola,A,,,,,28.5241981,28.04747157
5,F24 3609,ABC-BH16B_1618,Urochloa,humidicola,Brachiaria humidicola,B,,,,,27.57074505,
5,F24 3610,ABC-BH16B_1707,Urochloa,humidicola,Brachiaria humidicola,A,,,,,26.78768698,26.73881247
5,F24 3610,ABC-BH16B_1707,Urochloa,humidicola,Brachiaria humidicola,B,,,,,26.68993796,
5,F24 3611,ABC-CIAT_16888,Urochloa,humidicola,Brachiaria humidicola,A,,,,,30.34465841,30.80701399
5,F24 3611,ABC-CIAT_16888,Urochloa,humidicola,Brachiaria humidicola,B,,,,,31.26936957,
5,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,A,0.5788,0.5002,0.7985,44.00742851,47.64235849,47.62549013
5,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,B,0.5626,0.5003,0.7822,43.97626578,47.60862178,
5,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,A,0.5605,0.5003,0.7263,33.16185687,35.7671013,35.89620842
5,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,B,0.5489,0.5003,0.7159,33.40126301,36.02531554,
5,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,A,0.5483,0.5,0.6617,22.70128048,24.44668691,24.90728416
5,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,B,0.5518,0.5001,0.6695,23.55670498,25.36788142,
5,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,A,0.5459,0.5004,0.7659,43.98599854,47.15664681,47.9701854
5,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,B,0.5637,0.5002,0.7912,45.50367671,48.78372398,
5,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,A,0.5537,0.5003,0.6652,22.3081052,24.2709361,24.28674512
5,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,B,0.5574,0.5001,0.669,22.33716624,24.30255413,
5,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,A,0.5632,0.5001,0.626,12.06408835,13.25207826,13.14422147
5,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,B,0.5564,0.5002,0.6182,11.86771252,13.03636467,
5,F24 3432,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,A,0.5821,0.5003,0.7576,35.16441763,38.41636274,37.6144658
5,F24 3432,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,B,0.5673,0.5004,0.7355,33.69638491,36.81256886,
5,F24 3433,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,A,0.5288,0.5004,0.6831,30.91295562,33.40776562,33.37983721
5,F24 3433,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,B,0.5431,0.5003,0.6971,30.86127003,33.35190879,
5,F24 3434,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,A,0.5543,0.5002,0.7523,39.66556596,43.11436797,44.14408862
5,F24 3434,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,B,0.5234,0.5002,0.7309,41.56026856,45.17380928,
5,F24 3435,ABC-7317-1,Canavalia,sp.,Canavalia sp.,A,0.527,0.5004,0.6404,22.73923016,24.59602868,24.73436997
5,F24 3435,ABC-7317-1,Canavalia,sp.,Canavalia sp.,B,0.5733,0.5002,0.6879,22.99502547,24.87271125,
5,F24 3436,ABC-7322-1,Canavalia,sp.,Canavalia sp.,A,0.5805,0.5004,0.6609,16.15235934,18.07416386,18.1626666
5,F24 3436,ABC-7322-1,Canavalia,sp.,Canavalia sp.,B,0.5468,0.5003,0.628,16.31054404,18.25116934,
5,F24 3437,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,A,0.5555,0.5002,0.7539,39.7457102,43.20852578,42.71416967
5,F24 3437,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,B,0.5414,0.5003,0.7353,38.83623531,42.21981356,
5,F24 3438,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,A,0.5707,0.5002,0.6738,20.69556329,22.4549051,22.54261885
5,F24 3438,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,B,0.5542,0.5001,0.6581,20.85724605,22.63033261,
5,F24 3439,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,A,0.5515,0.5006,0.729,35.53837479,37.87869213,37.80469398
5,F24 3439,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,B,0.5413,0.5,0.7179,35.39952236,37.73069582,
5,F24 3440,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,A,0.5449,0.5004,0.6962,30.3157986,32.9712372,32.10105566
5,F24 3440,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,B,0.5537,0.5001,0.6969,28.71560092,31.23087411,
5,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,A,,,,,,
5,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,B,,,,,,
5,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,A,,,,,,
5,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,B,,,,,,
5,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,A,,,,,,
