21_no,21_date,21_set_ciat,21_sample_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_replication,21_empty_crucible_g,21_sample_weight_g,21_weight_105_g,21_weight_505,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_ash_dm,21_av_ash_percentage,21_om_percentage,21_av_om_percentage,
No,Date,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Replication,Empty crucible (g),Sample weight (g),Weight 105 (g),Weight 505 (g),"DM, %",Av DM 105,"Ash, %",Ash/DM,"Av Ash, %","OM, %","OM, %",
117,45621,4,F24 3595,ABC-PM21_2195,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,96.66,96.76047086,,14.09666559,14.14104437,85.90333441,85.85895563,
118,45621,4,F24 3595,ABC-PM21_2195,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,96.86094172,,,14.18542315,,85.81457685,,
119,45621,4,F24 3596,ABC-PM21_3522,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,96.46035396,96.41535846,,15.85688359,15.65465388,84.14311641,84.34534612,
120,45621,4,F24 3596,ABC-PM21_3522,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,96.37036296,,,15.45242416,,84.54757584,,
121,45718,FAO,FAO,FAO,FAO,FAO,FAO,A,,,,,,,,,,,,
122,45718,FAO,FAO,FAO,FAO,FAO,FAO,B,,,,,,,,,,,,
123,45718,5,F24 3597,ABC-PM21_3534,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,96.96030397,97.28525795,,15.58390929,14.47659551,84.41609071,85.52340449,
124,45718,5,F24 3597,ABC-PM21_3534,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,96.04,,,15.53365429,,84.46634571,,
125,45718,5,F24 3598,ABC-PM21_3537,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,97.15,97.12,,14.49346005,14.78068369,85.50653995,85.21931631,
126,45718,5,F24 3598,ABC-PM21_3537,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,97.4205159,,,14.45973096,,85.54026904,,
127,45718,5,F24 3599,ABC-PM21_3545,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,96.98,97.13028697,,14.7961285,14.59748816,85.2038715,85.40251184,
128,45718,5,F24 3599,ABC-PM21_3545,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,97.26,,,14.76523888,,85.23476112,,
129,45718,5,F24 3600,ABC-PM21_3670,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,96.96030397,95.21546891,,14.55631048,14.10342923,85.44368952,85.89657077,
130,45718,5,F24 3600,ABC-PM21_3670,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,97.30026997,,,14.63866584,,85.36133416,,
131,45718,5,F24 3601,ABC-PM21_6628,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,95.12,94.42555189,,13.98932353,13.31603681,86.01067647,86.68396319,
132,45718,5,F24 3601,ABC-PM21_6628,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,95.31093781,,,14.21753492,,85.78246508,,
133,45718,5,F24 3602,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,A,,,,,94.37,94.11,,13.30148434,11.5237488,86.69851566,88.4762512,
134,45718,5,F24 3602,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,B,,,,,94.48110378,,,13.33058929,,86.66941071,,
135,45718,5,F24 3603,ABC-BH16_0550,Urochloa,humidicola,Brachiaria humidicola,A,,,,,94,95.16621668,,11.45468069,11.17239453,88.54531931,88.82760547,
136,45718,5,F24 3603,ABC-BH16_0550,Urochloa,humidicola,Brachiaria humidicola,B,,,,,94.22,,,11.59281692,,88.40718308,,
137,45718,5,F24 3604,ABC-BH16_0562,Urochloa,humidicola,Brachiaria humidicola,A,,,,,95.00149955,95.8156214,,11.10355157,12.04215411,88.89644843,87.95784589,
138,45718,5,F24 3604,ABC-BH16_0562,Urochloa,humidicola,Brachiaria humidicola,B,,,,,95.33093381,,,11.24123749,,88.75876251,,
