42_no,42_column1,42_ciat_lab_id,42_requisitioner,42_gene_bank_breeding_program_id,42_genus,42_species,42_tax_name,42_dm_percentage,42_ash_dm_percentage,42_protein_dm_percentage,42_adf_dm_percentage,42_ndf_dm_percentage,42_remarks
No,Column1,CIAT Lab-ID,Requisitioner,Gene bank /Breeding program ID,Genus,Species,Tax Name,"DM, %","Ash (DM), %","Protein (DM), %","ADF (DM), %"," NDF (DM), %",Remarks
46,4,F24 3582,Genetic bank,ABC-BR02_1752,Urochloa,interespecifico,Brachiaria interespecifico,96.02539292,15.70260308,10.91797301,21.14081447,55.41185871,F24 3548
47,4,F24 3583,Breeding,ABC-BR02_1794,Urochloa,interespecifico,Brachiaria interespecifico,97.04515148,15.01802548,9.392254149,21.83535497,55.76175346,F24 3549
48,4,F24 3584,Breeding,ABC-BR06_0423,Urochloa,interespecifico,Brachiaria interespecifico,96.76581878,15.96755672,11.00867792,22.02334064,57.36436861,F24 3550
49,4,F24 3585,Breeding,ABC-BR09_1232,Urochloa,interespecifico,Brachiaria interespecifico,97.23582925,13.79735773,10.08023483,21.03258278,55.65771615,F24 3551
50,4,F24 3586,Breeding,ABC-BR12_4951,Urochloa,interespecifico,Brachiaria interespecifico,95.7458233,15.47538705,11.10404195,23.28964746,56.86413105,F24 3552
51,4,F24 3587,Breeding,ABC-BR15_0722,Urochloa,interespecifico,Brachiaria interespecifico,95.2154929,14.05618126,10.31254646,26.17777008,60.21275449,F24 3553
52,4,F24 3588,Breeding,ABC-BR15_6487,Urochloa,interespecifico,Brachiaria interespecifico,95.07,13.5689492,9.608712975,24.55349937,59.72506873,F24 3554
53,4,F24 3589,Breeding,ABC-BR19_0029,Urochloa,interespecifico,Brachiaria interespecifico,96.07039092,14.1288488,10.07879313,23.97575256,58.41008046,F24 3555
54,4,F24 3590,Breeding,ABC-BR19_0423,Urochloa,interespecifico,Brachiaria interespecifico,95.34544891,13.90068579,10.11450669,24.49388118,59.22404943,F24 3556
55,4,F24 3591,Breeding,ABC-CIAT_6962,Megathyrsus,maximus,Megathyrsus maximus,95.7256628,14.24692367,8.588266117,32.14264215,67.62478303,F24 3557
