40gp_no,40gp_requisitioner,40gp_gene_bank_id,40gp_genus,40gp_species,40gp_tax_name,40gp_family,40gp_order,40gp_functional_group,40gp_ciat_id,40gp_set_ciat,40gp_batch,40gp_run,40gp_replication,40gp_ch4_8h_percentage,40gp_ch4_24h_percentage,40gp_net_gas_8h_ml,40gp_net_gas_24h_ml,40gp_gas_ml_g_dm_incubated_24h,40gp_percentage_dmd_truly_digestibility,40gp_part_fact,40gp_ch4_percentage_in_gas_8h,40gp_ch4_percentage_in_gas_24h,40gp_ch4_ml_g_dm_incubated_24h,40gp_ch4_ml_g_dmd_24h,40gp_ch4_ml_g_ndf_digested_in_24h,40gp_ch4_g_g_dm_incubated_24h,40gp_ch4_g_g_dmd_24h,40gp_remarks,40gp_remarks_2
No,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,CH4 8h %,"CH4 24h, %","Net gas 8h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Remarks,Remarks2
47,Genetic bank,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3421,1,2,2,2,13.2,16.6,32.15524547,76.18433159,166.4822896,64.00882895,3.844783076,13.2,15.16495644,25.24696669,39.44294421,80.33511248,14.01250331,21.89151644,,
48,Genetic bank,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3421,1,2,2,3,13.2,16.3,31.27023872,76.18433159,166.4157499,63.80477562,3.834058715,13.2,15.02758955,25.00827583,39.19499064,80.09565963,13.88002576,21.75389792,,
49,Genetic bank,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3422,1,2,2,1,13.8,20.1,31.71274209,63.794237,140.5013132,57.49341206,4.09201955,13.8,16.96820809,23.8405552,41.46658608,226.1079583,13.2319206,23.01467269,Feed despues del clip,
50,Genetic bank,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3422,1,2,2,2,14.5,20.8,32.15524547,64.67924376,142.5074332,55.03075574,3.861605988,14.5,17.66795895,25.1781548,45.75287848,311.5635838,13.97431152,25.39363913,,
51,Genetic bank,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3422,1,2,2,3,14.5,20.3,32.15524547,65.12174714,143.42504,57.86782242,4.034708474,14.5,17.43612684,25.00777189,43.21533254,229.0447279,13.87974606,23.98525723,,
52,Genetic bank,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24 3423,1,2,2,1,12.1,19.6,38.79279614,77.51184172,168.5540393,59.0965534,3.506089421,12.1,15.84643197,26.70980117,45.19688481,-615.1307227,14.82440176,25.08505303,,
53,Genetic bank,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24 3423,1,2,2,2,12.3,19.6,38.35029276,77.06933834,167.5583116,58.6481582,3.500164071,12.3,15.96746411,26.75481328,45.61918753,-558.4938818,14.84938425,25.31943834,,
54,Genetic bank,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24 3423,1,2,2,3,12.1,19.5,38.79279614,77.06933834,167.7258364,63.65582567,3.795230779,12.1,15.77521531,26.45911182,41.56589211,12185.38255,14.68526483,23.06978926,"embolo duro, 24h feed despes del clip",
55,Genetic bank,ABC-913-1,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,F24 3424,1,2,2,1,13.6,19.3,23.74768129,54.50166606,114.9489005,61.02402303,5.308795713,13.6,16.81637348,19.33023642,31.67643734,88.32367726,10.72861565,17.58097076,,
56,Genetic bank,ABC-913-1,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,F24 3424,1,2,2,2,13.6,19.4,23.74768129,53.61665931,113.1275658,64.82741472,5.730470223,13.6,16.83108666,19.04059863,29.37121388,74.11945305,10.56786166,16.30153186,,
57,Genetic bank,ABC-913-1,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,F24 3424,1,2,2,3,13.5,18.9,23.74768129,54.50166606,114.9718811,64.62349529,5.62080873,13.5,16.54709066,19.0245014,29.43898549,74.64935664,10.55892742,16.33914627,Feed despues del clip,
58,Genetic bank,ABC-955-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3425,1,2,2,1,12.4,16.4,36.58027925,82.82188226,180.229317,63.50667767,3.523659677,12.4,14.63330365,26.37350322,41.52870877,104.740759,14.63775058,23.04915186,,
