22_no,22_date,22_technician_name,22_set_ciat,22_sample_id,22_column4,22_column5,22_column6,22_column3,22_replication,22_peso_muestra_g,22_peso_residual_muestra_g,22_peso_total_muestra_g,22_hcl_ml,22_nitrogeno,22_proteina_cruda_percentage_n_x_6_25,22_pc_percentage_dm,22_av_pc_percentage
No,Date,Techincian name,Set CIAT,Sample ID,Column4,Column5,Column6,Column3,Replication,Peso muestra ( g),Peso residual muestra (g),Peso Total Muestra (g),HCl (ml)  ,Nitrogeno (%),Proteina cruda (%) N x 6.25 ,"PC (%), DM","Av PC, %"
76,,,3,F24 3448,ABC-7972,Canavalia,brasiliensis,Canavalia brasiliensis,B,1.0005,0.0004,1.0001,27.5,3.902772329,24.39232705,26.52781626,
77,,,3,F24 3449,ABC-8205,Indigofera,suffruticosa,Indigofera suffruticosa,A,1.0004,0,1.0004,25.2,3.574095231,22.33809519,24.22786897,24.22786897
78,,,3,F24 3449,ABC-8205,Indigofera,suffruticosa,Indigofera suffruticosa,B,1.0004,0,1.0004,25.2,3.574095231,22.33809519,24.22786897,
79,,,3,F24 3450,ABC-8402,Indigofera,suffruticosa,Indigofera suffruticosa,A,1.0005,0,1.0005,27.9,3.958164,24.738525,26.88970109,26.88970109
80,,,3,F24 3450,ABC-8402,Indigofera,suffruticosa,Indigofera suffruticosa,B,1.0005,0,1.0005,27.9,3.958164,24.738525,26.88970109,
81,,,3,F24 3451,ABC-8408,Chamaecrista,nictitans,Chamaecrista nictitans,A,1.0001,0,1.0001,24.8,3.518192574,21.98870359,23.37980179,23.37980179
82,,,3,F24 3451,ABC-8408,Chamaecrista,nictitans,Chamaecrista nictitans,B,1.0001,0,1.0001,24.8,3.518192574,21.98870359,23.37980179,
83,,,3,F24 3452,ABC-8409,Chamaecrista,nictitans,Chamaecrista nictitans,A,1.0005,0.0003,1.0002,28.8,4.087531647,25.54707279,27.7836572,27.7836572
84,,,3,F24 3452,ABC-8409,Chamaecrista,nictitans,Chamaecrista nictitans,B,1.0005,0.0003,1.0002,28.8,4.087531647,25.54707279,27.7836572,
85,,,3,F24 3453,ABC-8719,Canavalia,sp.,Canavalia sp. ,A,1.0004,0.0005,0.9999,21.4,3.034513798,18.96571124,20.28346797,20.28346797
