subset,id,no,requisitioner,id_lab,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
1,ABC-4279,171,Genetic bank,F24-3431,Fabales,Fabaceae,Vigna,umbellata,Vigna umbellata,Herbaceous_legumes,2,4,1,1,18,36.19,73.74,6.05,13.23,16.66,17.91,161.93,114.4,41.87,70.2
1,ABC-43253,2241,LMF,F25-0893,Fabales,Fabaceae,Desmodium,scorpiurus,Desmodium scorpiurus,,11,29,1,1,43,32.16,76.52,4.97,12.56,15.47,16.41,168.38,,55.84,49.54
1,ABC-5124,174,Genetic bank,F24-3432,Fabales,Fabaceae,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Herbaceous_legumes,2,4,1,1,21,30.99,55.37,5.02,9.69,16.04,17.43,120.22,96.27,36.76,58.03
1,ABC-5234,179,Genetic bank,F24-3433,Fabales,Fabaceae,Centrosema,brasilianum,Centrosema brasilianum,Herbaceous_legumes,2,4,1,1,26,34.71,66.24,4.96,10.72,14.16,16.17,143.11,106.26,37.63,61.53
1,ABC-705,3,Genetic bank,F24-3416,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,1,1,1,3,29.35,61.94,4.18,10.75,14.26,17.35,134.59,149.32,31.84,74.34
1,ABC-707,6,Genetic bank,F24-3417,Fabales,Fabaceae,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Herbaceous_legumes,1,1,1,1,6,30.58,66.26,4.14,10.77,13.54,16.25,147.01,125.18,36.44,65.97
1,ABC-712,9,Genetic bank,F24-3418,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,1,1,1,9,39.78,78.31,5.0,11.59,12.57,14.79,171.45,153.83,40.73,62.66
1,ABC-7292,182,Genetic bank,F24-3434,Fabales,Fabaceae,Chamaecrista,desvauxii,Chamaecrista desvauxii,Herbaceous_legumes,2,4,1,1,29,28.78,51.11,4.19,8.17,14.51,16.05,111.04,249.39,36.64,48.53
1,ABC-7317,185,Genetic bank,F24-3435,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp.,Herbaceous_legumes,2,4,1,1,32,34.9,64.66,5.2,10.57,14.86,16.36,139.8,108.22,32.97,69.48
1,ABC-7322,188,Genetic bank,F24-3436,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp.,Herbaceous_legumes,2,4,1,1,35,35.9,73.43,5.78,13.11,15.95,17.8,164.28,133.46,39.25,74.78
1,ABC-7339,191,Genetic bank,F24-3437,Fabales,Fabaceae,Indigofera,lespedezioides,Indigofera lespedezioides,Herbaceous_legumes,2,4,1,1,38,28.5,47.62,4.34,8.06,15.14,16.95,103.48,205.88,32.89,54.07
1,ABC-7469,194,Genetic bank,F24-3438,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,2,4,1,1,41,38.78,75.99,6.19,12.94,15.82,17.0,164.84,116.41,42.97,66.23
1,ABC-749,12,Genetic bank,F24-3419,Fabales,Fabaceae,Crotalaria,juncea,Crotalaria juncea,Herbaceous_legumes,1,1,1,1,12,35.74,67.64,5.01,10.55,14.03,15.59,147.39,150.15,35.43,65.15
