subset,id,no,requisitioner,id_lab,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,ABC-989,111,Genetic bank,F24-3426,Fabales,Fabaceae,Indigofera,hirsuta,Indigofera hirsuta,Herbaceous_legumes,5,92.37,13.66,86.34,25.35,47.63,53.1
1,ABC-9982,195,Genetic bank,F24-3468,Fabales,Fabaceae,Crotalaria,incana,Crotalaria incana,Herbaceous_legumes,6,93.82,8.65,91.35,26.86,14.33,46.83
1,ABC-BH-08-1149,91,Breeding,F24-3602,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,94.43,13.32,86.68,7.53,28.61,68.73
1,ABC-BH-16-0550,93,Breeding,F24-3603,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,94.11,11.52,88.48,6.43,30.15,69.16
1,ABC-BH-16-0562,95,Breeding,F24-3604,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,95.17,11.17,88.83,5.94,30.47,69.59
1,ABC-BH-16-3249,97,Breeding,F24-3605,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,95.82,12.04,87.96,6.65,28.86,69.65
1,ABC-BH-16-B-0733,99,Breeding,F24-3606,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.31,12.64,87.36,8.1,29.36,68.83
1,ABC-BH-16-B-0741,101,Breeding,F24-3607,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.67,14.23,85.77,7.5,28.14,65.68
1,ABC-BH-16-B-1194,103,Breeding,F24-3608,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.74,11.91,88.09,5.47,29.54,67.77
1,ABC-BH-16-B-1618,105,Breeding,F24-3609,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,97.16,13.98,86.02,8.13,28.05,66.39
1,ABC-BH-16-B-1707,107,Breeding,F24-3610,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.95,10.52,89.48,5.97,26.74,68.59
1,ABC-BR-02-1752,51,Breeding,F24-3582,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.03,15.7,84.3,10.92,21.14,55.41
1,ABC-BR-02-1794,53,Breeding,F24-3583,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,97.05,15.02,84.98,9.39,21.84,55.76
1,ABC-BR-06-0423,55,Breeding,F24-3584,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,96.77,15.97,84.03,11.01,22.02,57.36
