id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F24-3628,ABC-7746,Crotalaria paulina,Herbaceous_legumes,12.88,14.83,41.13,57.79
F24 3442,ABC-7757,Clitoria ternatea,Herbaceous_legumes,15.8,17.25,46.06,64.37
F24 3443,ABC-7759,Clitoria ternatea,Herbaceous_legumes,15.8,16.82,47.01,64.84
F24 3444,ABC-7790,Crotalaria pallida,Herbaceous_legumes,16.07,18.9,46.83,61.25
F24 3445,ABC-7792,Chamaecrista rotundifolia,Herbaceous_legumes,14.69,16.83,40.68,65.8
F24-3629,ABC-7813,Indigofera cryptantha,Herbaceous_legumes,14.13,17.16,58.94,61.74
F24 3446,ABC-7816,Indigofera spicata,Herbaceous_legumes,13.37,15.95,32.93,65.79
F24-3630,ABC-7831,Tephrosia rhodesica,Shrub_Trees,14.91,17.57,54.47,51.58
F24 3447,ABC-7858,Crotalaria incana,Herbaceous_legumes,14.73,16.32,38.8,75.03
F24-3631,ABC-7894,Canavalia brasiliensis,Herbaceous_legumes,12.54,15.22,45.98,49.64
F24 3448,ABC-7972,Canavalia brasiliensis,Herbaceous_legumes,13.76,16.13,35.17,68.52
F24-3632,ABC-7991,Indigofera suffruticosa,Herbaceous_legumes,14.83,16.73,63.57,39.55
F25-0964,ABC-8013,Crotalaria paulina,Herbaceous_legumes,13.2,14.51,44.51,64.81
F25-0965,ABC-8156,Chamaecrista rotundifolia,Herbaceous_legumes,14.43,16.16,44.88,48.38
F24 3422,ABC-819,Indigofera suffruticosa,Herbaceous_legumes,14.22,16.94,39.4,60.93
F24-3633,ABC-8202,Chamaecrista rotundifolia,Herbaceous_legumes,13.61,15.52,48.87,51.8
F24 3449,ABC-8205,Indigofera suffruticosa,Herbaceous_legumes,16.87,18.02,36.31,63.4
F24 3450,ABC-8402,Indigofera suffruticosa,Herbaceous_legumes,16.26,17.93,35.27,64.85
F24 3451,ABC-8408,Chamaecrista nictitans,Herbaceous_legumes,15.03,18.27,50.04,48.31
F24 3452,ABC-8409,Chamaecrista nictitans,Herbaceous_legumes,15.29,18.6,42.31,52.95
F25-0988,ABC-8512,Calopogonium caeruleum,Herbaceous_legumes,14.62,15.99,80.58,33.65
F24 3453,ABC-8719,Canavalia sp. ,Herbaceous_legumes,14.29,16.47,34.19,69.74
F24 3453,ABC-8719,Canavalia sp.,Herbaceous_legumes,14.29,16.47,34.19,69.74
F24 3454,ABC-8797,Desmanthus virgatus,Shrub_Trees,13.23,15.52,37.41,49.41
F24 3455,ABC-8819,Coursetia caribaea,Herbaceous_legumes,15.99,17.87,38.36,65.65
F24-3617,ABC-887,Calopogonium mucunoides,Herbaceous_legumes,14.44,16.22,41.52,52.78
F24 3423,ABC-905,Canavalia brasiliensis,Herbaceous_legumes,12.08,15.4,40.88,63.42
F24 3424,ABC-913,Cajanus cajan,Shrub_Trees,13.53,16.14,32.83,60.86
F24 3456,ABC-9170,Indigofera lespedezioides,Herbaceous_legumes,15.12,16.69,38.2,42.54
F24-3634,ABC-9189,Indigofera suffruticosa,Herbaceous_legumes,15.22,17.47,45.56,57.89
F24-3618,ABC-923,Galactia latisiliqua,Herbaceous_legumes,14.04,16.3,49.82,63.67
F24 3457,ABC-9254,Crotalaria pallida,Herbaceous_legumes,18.25,20.76,52.29,59.58
F24 3458,ABC-9283,Crotalaria pallida,Herbaceous_legumes,18.13,20.82,50.83,60.12
F24 3459,ABC-9288,Indigofera suffruticosa,Herbaceous_legumes,19.38,22.66,49.11,68.02
F25-0966,ABC-9323,Crotalaria vitellina,Herbaceous_legumes,14.66,15.74,51.69,64.57
F24 3460,ABC-9336,Clitoria ternatea,Herbaceous_legumes,18.63,20.19,50.58,69.14
F24 3461,ABC-9349,Mucuna pruriens,Herbaceous_legumes,17.35,18.52,43.23,56.47
F24 3462,ABC-9356,Tephrosia noctiflora,Shrub_Trees,18.7,20.48,49.48,53.77
F24 3463,ABC-9432,Clitoria ternatea,Herbaceous_legumes,17.47,18.95,54.34,55.34
F24 3464,ABC-9433,Clitoria ternatea,Herbaceous_legumes,17.95,19.36,46.43,61.82
F24-3635,ABC-9434,Clitoria ternatea,Herbaceous_legumes,14.89,16.28,64.01,52.1
F24 3465,ABC-9435,Desmanthus pubescens,Shrub_Trees,16.03,18.91,44.69,43.26
F24 3466,ABC-9530,Crotalaria maypurensis,Herbaceous_legumes,17.02,19.21,51.12,68.2
F25-0967,ABC-9537,Crotalaria sagittalis,Herbaceous_legumes,13.62,14.68,43.17,63.64
F24 3425,ABC-955,Clitoria ternatea,Herbaceous_legumes,12.82,14.54,45.45,59.65
F24 3467,ABC-9562,Eriosema diffusum,Herbaceous_legumes,16.7,18.01,40.6,35.83
F25-0968,ABC-9690,Aeschynomene histrix,Herbaceous_legumes,14.26,15.55,48.01,58.38
F24 3426,ABC-989,Indigofera hirsuta,Herbaceous_legumes,14.92,15.99,29.71,50.48
F24 3426,ABC-989,Indigofera hirsuta,Herbaceous_legumes,14.92,15.99,29.71,50.48
F25-0969,ABC-9900,Pueraria phaseoloides,Herbaceous_legumes,14.1,14.7,53.98,41.75
F24 3468,ABC-9982,Crotalaria incana,Herbaceous_legumes,17.05,19.0,47.26,72.64
F24 3602,ABC-BH08_1149,Brachiaria humidicola,Grass,16.71,18.65,55.07,58.28
F24 3606,ABC-BH16B_0733,Brachiaria humidicola,Grass,16.61,18.55,54.65,57.87
F24 3607,ABC-BH16B_0741,Brachiaria humidicola,Grass,16.41,18.66,53.66,58.82
F24 3608,ABC-BH16B_1194,Brachiaria humidicola,Grass,15.93,17.98,56.09,57.89
F24 3609,ABC-BH16B_1618,Brachiaria humidicola,Grass,16.37,17.53,49.87,55.96
F24 3610,ABC-BH16B_1707,Brachiaria humidicola,Grass,15.83,17.95,58.33,56.99
F24 3603,ABC-BH16_0550,Brachiaria humidicola,Grass,16.28,18.26,58.06,56.56
F24 3604,ABC-BH16_0562,Brachiaria humidicola,Grass,15.85,18.02,57.88,56.42
F24 3605,ABC-BH16_3249,Brachiaria humidicola,Grass,16.17,18.16,55.41,59.07
F24 3582,ABC-BR02_1752,Brachiaria interespecifico,Grass,13.98,14.61,33.83,67.39
