id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
67,nan,Medicago orbicularis f. biancae,Herbaceous_legumes,13.99,16.24,41.06,80.62
66,nan,Medicago orbicularis f. marginata,Herbaceous_legumes,14.4,16.29,45.59,72.84
65,nan,Medicago scutellata,Herbaceous_legumes,13.35,13.9,38.19,73.11
64,nan,Medicago rotata,Herbaceous_legumes,12.88,13.54,38.88,67.66
63,nan,Medicago tornata var. rugulosa,Herbaceous_legumes,14.29,14.41,45.0,68.67
62,nan,Medicago rotata var. eliezeri,Herbaceous_legumes,14.36,15.23,47.48,64.64
61,nan,Medicago rigidula,Herbaceous_legumes,14.16,12.56,37.06,75.17
60,nan,Medicago polymorpha var. polymorpha,Herbaceous_legumes,13.21,12.46,44.4,66.77
59,nan,Medicago orbicularis,Herbaceous_legumes,13.98,14.83,40.08,80.21
58,nan,Medicago constricta,Herbaceous_legumes,13.64,15.01,45.18,64.21
57,nan,Medicago bonarotiana,Herbaceous_legumes,12.77,13.89,34.07,76.07
56,nan,Medicago doliata var. doliata,Herbaceous_legumes,13.17,13.9,39.73,70.87
55,nan,Pisum sativum subsp. Elatius,Herbaceous_legumes,13.9,14.75,41.94,71.55
54,nan,Lathyrus ochrus,Herbaceous_legumes,13.16,14.43,40.82,77.55
53,nan,Pisum sp.,Herbaceous_legumes,13.92,15.19,44.56,80.12
52,nan,Pisum sativum var. sativum,Herbaceous_legumes,13.99,14.78,40.79,78.53
48,nan,Astragalus boeticus,Herbaceous_legumes,13.17,14.19,39.1,75.92
