40nutrition_no,40nutrition_date,40nutrition_requisitioner,40nutrition_set_ciat,40nutrition_sample_id,40nutrition_gene_bank_breeding_program_id,40nutrition_genus,40nutrition_species,40nutrition_tax_name,40nutrition_dm_percentage,40nutrition_av_dm_105,40nutrition_ash_dm,40nutrition_av_ash_percentage,40nutrition_om_percentage,40nutrition_om_percentage,40nutrition_pc_percentage_dm,40nutrition_av_pc_percentage,40nutrition_adf_percentage_dm,40nutrition_av_adf_percentage_dm,40nutrition_ndf_percentage_dm,40nutrition_av_ndf_percentage_dm
No,Date,,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
77,45621,Breeding,4,F24 3595,ABC-PM21_2195,Megathyrsus,maximus,Megathyrsus maximus,96.66,96.76047086,14.09666559,14.14104437,85.90333441,85.85895563,8.717412856,8.717412856,30.70952616,30.92212321,67.8500454,68.05113316
78,45621,Breeding,4,F24 3595,ABC-PM21_2195,Megathyrsus,maximus,Megathyrsus maximus,96.86094172,,14.18542315,,85.81457685,,8.717412856,,31.13472027,,68.25222093,
79,45621,Breeding,4,F24 3596,ABC-PM21_3522,Megathyrsus,maximus,Megathyrsus maximus,96.46035396,96.41535846,15.85688359,15.65465388,84.14311641,84.34534612,8.710478289,8.710478289,29.56094377,29.81695123,64.48048266,64.71518053
80,45621,Breeding,4,F24 3596,ABC-PM21_3522,Megathyrsus,maximus,Megathyrsus maximus,96.37036296,,15.45242416,,84.54757584,,8.710478289,,30.0729587,,64.94987839,
81,45718,Breeding,5,F24 3597,ABC-PM21_3534,Megathyrsus,maximus,Megathyrsus maximus,96.96030397,97.28525795,15.58390929,14.47659551,84.41609071,85.52340449,9.000965172,10.87316719,30.95929986,26.81044889,67.25304297,61.93762764
82,45718,Breeding,5,F24 3597,ABC-PM21_3534,Megathyrsus,maximus,Megathyrsus maximus,96.04,,15.53365429,,84.46634571,,9.000965172,,30.87115597,,67.21327086,
83,45718,Breeding,5,F24 3598,ABC-PM21_3537,Megathyrsus,maximus,Megathyrsus maximus,97.15,97.12,14.49346005,14.78068369,85.50653995,85.21931631,10.87316719,8.40826817,26.62942029,30.00475359,61.71271858,65.74084764
84,45718,Breeding,5,F24 3598,ABC-PM21_3537,Megathyrsus,maximus,Megathyrsus maximus,97.4205159,,14.45973096,,85.54026904,,10.87316719,,26.9914775,,62.1625367,
85,45718,Breeding,5,F24 3599,ABC-PM21_3545,Megathyrsus,maximus,Megathyrsus maximus,96.98,97.13028697,14.7961285,14.59748816,85.2038715,85.40251184,8.40826817,8.834231116,30.17716395,29.25564376,65.69916439,64.38415589
86,45718,Breeding,5,F24 3599,ABC-PM21_3545,Megathyrsus,maximus,Megathyrsus maximus,97.26,,14.76523888,,85.23476112,,8.40826817,,29.83234323,,65.78253088,
87,45718,Breeding,5,F24 3600,ABC-PM21_3670,Megathyrsus,maximus,Megathyrsus maximus,96.96030397,95.21546891,14.55631048,14.10342923,85.44368952,85.89657077,8.834231116,9.980926223,29.30596547,29.82723766,64.35902183,64.96026167
88,45718,Breeding,5,F24 3600,ABC-PM21_3670,Megathyrsus,maximus,Megathyrsus maximus,97.30026997,,14.63866584,,85.36133416,,8.834231116,,29.20532204,,64.40928995,
89,45718,Breeding,5,F24 3601,ABC-PM21_6628,Megathyrsus,maximus,Megathyrsus maximus,95.12,94.42555189,13.98932353,13.31603681,86.01067647,86.68396319,9.980926223,7.526319867,29.70798149,28.61056023,64.85398573,68.72940855
90,45718,Breeding,5,F24 3601,ABC-PM21_6628,Megathyrsus,maximus,Megathyrsus maximus,95.31093781,,14.21753492,,85.78246508,,9.980926223,,29.94649383,,65.06653761,
91,45718,Breeding,5,F24 3602,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,94.37,94.11,13.30148434,11.5237488,86.69851566,88.4762512,7.526319867,6.425464292,28.67656881,30.14508217,67.49290661,69.15978352
92,45718,Breeding,5,F24 3602,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,94.48110378,,13.33058929,,86.66941071,,7.526319867,,28.54455165,,69.96591048,
93,45718,Breeding,5,F24 3603,ABC-BH16_0550,Urochloa,humidicola,Brachiaria humidicola,94,95.16621668,11.45468069,11.17239453,88.54531931,88.82760547,6.425464292,5.939448687,29.83002246,30.46611447,68.75694556,69.59254363
94,45718,Breeding,5,F24 3603,ABC-BH16_0550,Urochloa,humidicola,Brachiaria humidicola,94.22,,11.59281692,,88.40718308,,6.425464292,,30.46014187,,69.56262149,
95,45718,Breeding,5,F24 3604,ABC-BH16_0562,Urochloa,humidicola,Brachiaria humidicola,95.00149955,95.8156214,11.10355157,12.04215411,88.89644843,87.95784589,5.939448687,6.64642741,30.66293364,28.8604292,69.91192737,69.64533207
96,45718,Breeding,5,F24 3604,ABC-BH16_0562,Urochloa,humidicola,Brachiaria humidicola,95.33093381,,11.24123749,,88.75876251,,5.939448687,,30.26929531,,69.27315989,
97,45718,Breeding,5,F24 3605,ABC-BH16_3249,Urochloa,humidicola,Brachiaria humidicola,95.69043096,96.30536946,11.94883981,12.640814,88.05116019,87.359186,6.64642741,8.098687385,28.50012439,29.35547793,69.32874104,68.83461568
98,45718,Breeding,5,F24 3605,ABC-BH16_3249,Urochloa,humidicola,Brachiaria humidicola,95.94081184,,12.13546841,,87.86453159,,6.64642741,,29.22073401,,69.96192311,
