id,methane_intensity,tddm,ch4_8h,ch4_24h,functional_group,taxonomic_name,family,,
60039,31.93,74.97,11.87,13.68,Legume,Vicia villosa subsp. villosa,Vicia,,
60082,29.83,78.32,12,13.57,Legume,Vicia pannonica subsp. pannonica,Vicia,,
60083,34.88,75.92,12.03,13.58,Legume,Vicia pannonica subsp. pannonica,Vicia,,
60102,35.82,77.01,12.1,13.93,Legume,Vicia sativa subsp. nigra,Vicia,,
60108,36.03,79.1,12.1,13.62,Legume,Vicia sativa subsp. nigra,Vicia,,
60115,41.55,81.83,12.95,14.42,Legume,Vicia sativa subsp. nigra,Vicia,,
60117,36.11,81.16,11.9,13.67,Legume,Vicia sativa subsp. nigra,Vicia,,
60120,37.34,80.7,12.72,13.92,Legume,Vicia sativa subsp. nigra,Vicia,,
60123,35.88,80.5,12.92,14.02,Legume,Vicia sativa subsp. nigra,Vicia,,
60146,28.45,77.69,12.43,13.61,Legume,Vicia sativa subsp. nigra,Vicia,,
60576,33.23,75.14,12.5,13.95,Legume,Vicia villosa subsp. villosa,Vicia,,
60592,33.66,74.67,12.5,13.8,Legume,Vicia villosa subsp. villosa,Vicia,,
60635,37.21,75.8,12.42,13.86,Legume,Vicia sativa subsp. cordata,Vicia,,
60657,39.1,76.67,13.35,15.63,Legume,Vicia sativa subsp. cordata,Vicia,,
60697,40.5,77.84,14.21,15.69,Legume,Vicia johannis var. johannis,Vicia,,
60702,35.31,69.37,13.03,14.41,Legume,Vicia sericocarpa,Vicia,,
60711,39.31,80.04,13.61,15.6,Legume,Vicia peregrina,Vicia,,
60740,33.79,75.45,13.64,15.17,Legume,Vicia villosa subsp. dasycarpa,Vicia,,
60767,35.27,78.95,13.61,14.93,Legume,Vicia sativa subsp. macrocarpa,Vicia,,
60775,40.28,72.02,14.44,16.01,Legume,Vicia sativa subsp. cordata,Vicia,,
60832,43.17,77.08,12.46,14.39,Legume,Vicia monantha subsp. monantha,Vicia,,
60834,44.06,75.84,13,14.79,Legume,Vicia monantha subsp. monantha,Vicia,,
60836,33.7,76.23,12.68,14.09,Legume,Vicia sativa subsp. cordata,Vicia,,
60880,28.95,76.1,11.73,12.99,Legume,Vicia bithynica,Vicia,,
60890,30.3,73.54,11.75,12.97,Legume,Vicia bithynica,Vicia,,
60904,31.89,77.2,12.74,13.89,Legume,Vicia villosa subsp. dasycarpa,Vicia,,
60906,37.34,76.51,12.61,14.21,Legume,Vicia villosa subsp. dasycarpa,Vicia,,
60951,33.55,74.59,12.99,14.25,Legume,Vicia melanops,Vicia,,
60959,40.64,61.76,11.98,13.26,Legume,Vicia anatolica,Vicia,,
61039,37.11,74.66,12.49,14.18,Legume,Vicia sativa subsp. cordata,Vicia,,
61043,38.75,80.55,12.08,14.27,Legume,Vicia lutea subsp. lutea,Vicia,,
61065,34.22,80.73,12.04,13.52,Legume,Vicia lutea subsp. lutea,Vicia,,
61079,35.13,78.21,12.54,13.88,Legume,Vicia peregrina,Vicia,,
61080,60.28,67.75,12.44,13.84,Legume,Vicia monantha subsp. triflora,Vicia,,
61084,40.46,69.28,11.81,12.93,Legume,Vicia melanops,Vicia,,
61086,37.13,75.89,12.71,13.86,Legume,Vicia sativa subsp. macrocarpa,Vicia,,
61087,35.37,74.36,12.89,14.3,Legume,Vicia sativa subsp. macrocarpa,Vicia,,
61109,39.18,71.33,12.51,14.29,Legume,Vicia pannonica subsp. striata,Vicia,,
61169,35.45,73.18,12.7,14.1,Legume,Vicia pannonica subsp. pannonica,Vicia,,
