icarda_id,functional_group,tanoxomic_name,gb_id,genus,run,replication,dm,ndf,om,gas_g_dm_incubated,ch4_g_dm_incubated,ch4_ndf,ch4_g_digested,tddm,ch4_g_kg_dm
ICARDA ID,Functional group,Latin name,GB ID,Genus,Run,Replication,DM,NDF,OM,Gas /g DM Incubated,CH4/gDM incubated,CH4/NDF,Ch4 /g digested,True digestebility,CH4 (g/kg DM) 
250100039,Legume,trifolium pratense,156297,Trifolium,3,1,92.84890145,35.07683361,86.8325648,164.7349979,22.1524375,5.86378323,32.80134414,67.53515163,12.29498607
250100040,Legume,trifolium pratense,156302,Trifolium,3,2,92.19726717,34.70296698,86.26535313,186.8477193,24.75638185,6.577163136,41.54652951,59.5871235,13.74022024
250100040,Legume,trifolium pratense,156302,Trifolium,3,3,92.19726717,34.70296698,86.26535313,185.28481,25.0223495,6.647824214,35.88528271,69.72872332,13.88783688
250100040,Legume,trifolium pratense,156302,Trifolium,3,1,92.19726717,34.70296698,86.26535313,192.2246321,26.94586074,7.158853947,37.0390826,72.749806,14.9554189
250100041,Legume,Vicia tenuifolia,165072,Vicia,3,2,94.01868343,39.95823147,88.09821108,180.4579082,25.06568271,5.897764745,-42.35253693,-59.18342684,13.91188757
250100041,Legume,Vicia tenuifolia,165072,Vicia,3,3,94.01868343,39.95823147,88.09821108,183.7745564,24.72891585,5.818526061,41.86573779,59.06719232,13.72497614
250100041,Legume,Vicia tenuifolia,165072,Vicia,3,1,94.01868343,39.95823147,88.09821108,190.7232367,27.00910102,6.355036312,56.4914577,47.81094722,14.99051835
250100042,Legume,trifolium pratense,165511,Trifolium,3,2,91.59906906,38.9549726,87.85206642,161.1356223,22.67408399,5.331604277,40.22645639,56.36609839,12.5845089
250100042,Legume,trifolium pratense,165511,Trifolium,3,3,91.59906906,38.9549726,87.85206642,161.3597775,22.46046745,5.281374295,41.50571153,54.11416074,12.46594803
250100042,Legume,trifolium pratense,165511,Trifolium,3,1,91.59906906,38.9549726,87.85206642,164.7778223,23.19431087,5.453930887,41.62728145,55.7190142,12.87324382
251002501,CC,HH Concentrate,2501,HH Concentrate,3,2,90.6969697,#N/A,#DIV/0!,256.5539304,38.35447413,#N/A,57.83566947,,21.28739671
251002501,CC,HH Concentrate,2501,HH Concentrate,3,3,90.6969697,#N/A,#DIV/0!,257.1694932,38.7016829,#N/A,56.69538408,,21.48010359
251002501,CC,HH Concentrate,2501,HH Concentrate,3,1,90.6969697,#N/A,#DIV/0!,268.9699879,39.63119562,#N/A,66.15514137,,21.99599923
250100043,Legume,trifolium pratense,165563,Trifolium,3,1,93.21882703,33.51833319,88.8720488,195.0493107,27.67550689,7.696917015,45.88008253,60.32139736,15.36038514
